ell,q_edge_m_inv,x1_m,f_edge_hz,n_line_m_inv,m2_line_m_inv3,q2_mean_m_inv2,barrier_qcrit,m2_line_ratio,spectral_power_fraction,classification
1.0,28691592330036.145,1.094952353097872e-13,4.994946249968134e+18,9132817489005.527,2.5060678610168007e+39,2.7440249014432964e+26,0.0005447429837491364,nan,0.24906399712866276,allowed
2.0,57383184660072.29,5.47476176548936e-14,9.989892499936268e+18,9132817489005.527,1.0024271444067203e+40,1.0976099605773186e+27,0.0021789719349965455,nan,0.4375193296505711,allowed
4.0,114766369320144.58,2.73738088274468e-14,1.9979784999872537e+19,9132817489005.527,4.009708577626881e+40,4.3904398423092743e+27,0.008715887739986182,nan,0.6250615798827247,allowed
8.0,229532738640289.16,1.36869044137234e-14,3.995956999974507e+19,9132817489005.527,1.6038834310507524e+41,1.7561759369237097e+28,0.03486355095994473,nan,0.7370191012495195,allowed
13.0,372990700290469.9,8.42271040844517e-15,6.493430124958574e+19,9132817489005.527,4.235254685118393e+41,4.637402083439171e+28,0.09206156425360404,nan,0.8099244783352341,allowed
21.0,602523438930759.0,5.214058824275581e-15,1.048938712493308e+20,9132817489005.527,1.105175926708409e+42,1.2101149815364937e+29,0.2402316558333691,nan,0.870798498122664,allowed
28.0,803364585241012.0,3.9105441182066855e-15,1.3985849499910775e+20,9132817489005.527,1.9647572030371716e+42,2.1513155227315443e+29,0.42707849925932284,nan,0.8937377119170874,allowed
34.0,975514139221228.9,3.220448097346682e-15,1.6982817249891654e+20,9132817489005.527,2.897014447335422e+42,3.172092786068451e+29,0.6297228892140017,nan,0.9050148224932443,allowed
55.0,1578037578151988.0,1.990822460177949e-15,2.747220437482474e+20,9132817489005.527,7.580855279575823e+42,8.300675326865973e+29,1.6478475258411376,nan,0.9312253062906973,suppressed
89.0,2553551717373217.0,1.2302835428065976e-15,4.4455021624716394e+20,9132817489005.527,1.9850563527114075e+43,2.173542124433235e+30,4.314909174276909,nan,0.9478833958775351,suppressed
