model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,78,26,103,0.005835755493475898,-0.07848592581519453,0.0033914257994918633,-0.03924296290759727,0.4701909514824883,0.025306753834079973,3_1,0_1,True,0.75,103,,,,
sqrt+inv,PASS_FIT,78,26,103,0.003433202360684107,-0.21018475209568832,0.011244482359951137,-0.10509237604784416,2.4128646930775983,0.16388540218234163,3_1,0_1,True,0.75,103,-6.877861856215729,0.5777903248191519,,
sqrt+inv+threehalf,PASS_FIT,78,26,103,0.0017937409028529736,-0.6762741215880212,0.03372273890251387,-0.3381370607940106,12.63221360862977,0.7330211660997054,3_1,0_1,True,0.75,103,-79.75439236364524,5.199960441830301,169.07208322045705,12.043182202289518
sqrt,PASS_FIT,78,26,103,0.05479233680738127,-0.3304310595566497,0.03184234584035318,-0.16521552977832485,2.1891357059705077,0.23760696984796045,4_1,0_1,False,0.75,103,,,,
sqrt+inv,PASS_FIT,78,26,103,0.031497923722455926,-1.5816598439605123,0.10316253178902855,-0.7908299219802561,20.645862867777986,1.503567035918852,4_1,0_1,False,0.75,103,-65.34438440113207,5.300938793220528,,
sqrt+inv+threehalf,PASS_FIT,78,26,103,0.014224491848320428,-6.0562019388095525,0.2674236975133332,-3.0281009694047762,118.75345745718914,5.812909537407279,4_1,0_1,False,0.75,103,-764.9722343931229,41.23605298778572,1623.122523171384,95.50328410967079
