t,phi_model_real,phi_model_imag,phi_model_abs
20.0,-8.995725502788214e-07,-4.296608207240242e-07,9.969148379276862e-07
20.01,-8.652763557460027e-07,-5.135440561079212e-07,1.0061961386215208e-06
20.02,-8.248826132557229e-07,-5.95532123180579e-07,1.0173936481969792e-06
20.03,-7.784285756611153e-07,-6.753526365776803e-07,1.0305591837144615e-06
20.04,-7.259498783362218e-07,-7.527301731093826e-07,1.0457561567428883e-06
20.05,-6.67480532420857e-07,-8.273852779333889e-07,1.0630600450123885e-06
20.06,-6.030529079093069e-07,-8.99033436910603e-07,1.0825589731839842e-06
20.07,-5.326977046260934e-07,-9.673840068384026e-07,1.104354409236741e-06
20.08,-4.564439086993992e-07,-1.032139094724417e-06,1.1285619844064058e-06
20.09,-3.7431873162944054e-07,-1.0929923766257588e-06,1.155312446142037e-06
20.1,-2.8634752844278483e-07,-1.1496278458269738e-06,1.1847527551966528e-06
20.11,-1.925536906988059e-07,-1.2017184792546165e-06,1.2170473397463877e-06
20.12,-9.295850925245438e-08,-1.2489248100200376e-06,1.252379521361646e-06
20.13,1.2418999355246738e-08,-1.2908933928326463e-06,1.2909531297471518e-06
20.14,1.2356231024443594e-07,-1.3272551477197053e-06,1.3329943254423099e-06
20.15,2.404576601231622e-07,-1.3576235660219567e-06,1.378753652154757e-06
20.16,3.630943804142158e-07,-1.3815927609851065e-06,1.4285083430959837e-06
20.17,4.914653063218159e-07,-1.3987353434355636e-06,1.4825649086275449e-06
20.18,6.255672771331176e-07,-1.4086001009956583e-06,1.5412620357177173e-06
20.19,7.654017460962615e-07,-1.4107094570688913e-06,1.6049738331794735e-06
20.2,9.10975521878381e-07,-1.404556683381993e-06,1.674113460400642e-06
20.21,1.0623016679908754e-06,-1.3896028372530249e-06,1.7491371813319427e-06
20.22,1.2194005918055925e-06,-1.3652733919378885e-06,1.8305488898222347e-06
20.23,1.3823013610629674e-06,-1.3309545254547637e-06,1.9189051570166378e-06
