t,phi_model_real,phi_model_imag,phi_model_abs
20.0,-8.367795728842391e-08,-2.141026366136787e-07,2.2987374695883006e-07
20.01,-7.519243506395148e-08,-2.2999303918522207e-07,2.419725198540149e-07
20.02,-6.522719344850241e-08,-2.462569055736747e-07,2.547489947141894e-07
20.03,-5.366621762692734e-08,-2.628364160717517e-07,2.682592860048347e-07
20.04,-4.038809388964541e-08,-2.7966429701883476e-07,2.82565597968114e-07
20.05,-2.5265925527396702e-08,-2.966628867350342e-07,2.9773685589580557e-07
20.06,-8.167263216548174e-09,-3.137431191335565e-07,3.138494049573798e-07
20.07,1.1045947545418663e-08,-3.3080341738823314e-07,3.309877851415513e-07
20.08,3.2517399097489374e-08,-3.477284892409786e-07,3.4924559191760575e-07
20.09,5.639643118599296e-08,-3.6438801465215723e-07,3.687264333793513e-07
20.1,8.28380139153045e-08,-3.8063521552038814e-07,3.895449959166264e-07
20.11,1.1200270016212098e-07,-3.96305296109936e-07,4.1182823187390887e-07
20.12,1.440565431206533e-07,-4.112137416161433e-07,4.357166842224669e-07
20.13,1.7917097419306472e-07,-4.251544609537162e-07,4.613659650019027e-07
20.14,2.1752263595306435e-07,-4.378977583582434e-07,4.889484062016604e-07
20.15,2.592931643817654e-07,-4.4918811672440524e-07,5.186549038633754e-07
20.16,3.046689140090658e-07,-4.5874177375243294e-07,5.506969785181247e-07
20.17,3.538406189845151e-07,-4.662440699079998e-07,5.853090776399428e-07
20.18,4.070029824532358e-07,-4.7134654490469864e-07,6.227511486295518e-07
20.19,4.64354185918554e-07,-4.7366375685647513e-07,6.633115139506271e-07
20.2,5.260953095408562e-07,-4.7276979539906e-07,7.073100834588451e-07
20.21,5.924296535482844e-07,-4.681944569067469e-07,7.551019427080982e-07
20.22,6.635619501213545e-07,-4.5941904640084384e-07,8.070813601147753e-07
20.23,7.396974542663665e-07,-4.4587176681975066e-07,8.636862603371143e-07
20.24,8.210409013121479e-07,-4.269226519543323e-07,9.254032161059224e-07
20.25,9.077953177555693e-07,-4.01877994501731e-07,9.927730160533516e-07
20.26,1.0001606712533962e-06,-3.699742153040406e-07,1.066396871859574e-06
20.27,1.0983323446092078e-06,-3.303711138585842e-07,1.1469433342963904e-06
20.28,1.2024994176502202e-06,-2.8214443356005617e-07,1.2351559945359305e-06
20.29,1.3128427399294093e-06,-2.242776677846833e-07,1.3318620544381821e-06
20.3,1.4295327762342981e-06,-1.556530247947472e-07,1.4379818574849596e-06
20.31,1.5527272059373278e-06,-7.504146043656428e-08,1.5545394806316091e-06
20.32,1.6825682562919344e-06,1.8908322354579344e-08,1.6826744966675952e-06
20.33,1.81917974886067e-06,1.2768201923595406e-07,1.8236550267802685e-06
20.34,1.962663837361161e-06,2.52913139498285e-07,1.9788922139965375e-06
20.35,2.1130974143114255e-06,3.963978280848854e-07,2.1499562601318304e-06
20.36,2.270528162956878e-06,5.601112470965382e-07,2.3385941819615415e-06
20.37,2.434970230025025e-06,7.462256857467171e-07,2.5467494566950006e-06
20.38,2.606399493856684e-06,9.571305859649467e-07,2.7765837426892027e-06
20.39,2.7847484013768457e-06,1.1954546910790958e-06,3.0305008789627356e-06
20.4,2.969900346107941e-06,1.4640905474631424e-06,3.31117338672909e-06
20.41,3.1616835579788365e-06,1.7662216140788482e-06,3.621571718305881e-06
20.42,3.3598644739033712e-06,2.105352262767111e-06,3.96499652374836e-06
20.43,3.5641405559655076e-06,2.4853409834474615e-06,4.345114234019827e-06
20.44,3.7741325214108056e-06,2.9104371435488382e-06,4.7659962920379414e-06
20.45,3.989375945427062e-06,3.3853216906456603e-06,5.2321624002995215e-06
20.46,4.2093121937731464e-06,3.915152232158813e-06,5.748628196850571e-06
20.47,4.433278637637302e-06,4.505612976971524e-06,6.320957821183863e-06
20.48,4.660498097503849e-06,5.162970081928837e-06,6.95532188929666e-06
20.49,4.890067456352139e-06,5.894133012679798e-06,7.658561464063346e-06
20.5,5.120945375076494e-06,6.7067226046025775e-06,8.438258684681604e-06
20.51,5.351939034769695e-06,7.609146597300494e-06,9.302814809029644e-06
20.52,5.5816898215229316e-06,8.610683517330052e-06,1.0261536527212294e-05
20.53,5.808657859970807e-06,9.72157590066139e-06,1.1324731525582448e-05
20.54,6.031105292342868e-06,1.0953133981525874e-05,1.250381442059114e-05
20.55,6.247078190854907e-06,1.2317851130757244e-05,1.381142434371461e-05
20.56,6.4543869836943725e-06,1.3829532507930828e-05,1.5261555645582102e-05
20.57,6.6505852696824885e-06,1.5503438601628704e-05,1.6869703402958473e-05
20.58,6.83294689537889e-06,1.7356445575420457e-05,1.8653025660401595e-05
20.59,6.998441172618539e-06,1.9407224619059056e-05,2.0630524623993794e-05
20.6,7.143706126645284e-06,2.1676442830886185e-05,2.2823249352897727e-05
20.61,7.2650196878009135e-06,2.4186988535452014e-05,2.5254522871719872e-05
20.62,7.358268776848872e-06,2.6964224377970422e-05,2.7950197060090354e-05
20.63,7.41891628965622e-06,3.003627204347023e-05,3.093893917351203e-05
20.64,7.441966066717148e-06,3.343433303438117e-05,3.4252554421416244e-05
20.65,7.421926043477383e-06,3.719305061759295e-05,3.7926349685115746e-05
20.66,7.3527699269463455e-06,4.135091883581031e-05,4.199954421376949e-05
20.67,7.227897942979876e-06,4.595074538411166e-05,4.6515734005061034e-05
20.68,7.0400974596047594e-06,5.10401762011578e-05,5.1523417577699254e-05
20.69,6.781504630711787e-06,5.667229083723247e-05,5.707659199528498e-05
20.7,6.443568641210623e-06,6.290627906501733e-05,6.323542933071483e-05
20.71,6.0170206938477095e-06,6.980821082380247e-05,7.00670452955642e-05
20.72,5.491850590169018e-06,7.745191346876313e-05,7.764637353333064e-05
20.73,4.857294662111753e-06,8.59199724757433e-05,8.605716112949034e-05
20.74,4.101839954503001e-06,9.53048742740472e-05,9.53931032695986e-05
20.75,3.213251002334387e-06,0.0001057103128020008,0.00010575913773618268
20.76,2.1786273660632117e-06,0.00011725268476095266,0.00011727292313595453
20.77,9.845023765305456e-07,0.00013006280245767162,0.00013006652846936717
20.78,-3.830035825904192e-07,0.00014428785764831746,0.00014428836597759847
20.79,-1.9379583168145296e-06,0.00016009367502264107,0.00016010540423325105
20.8,-3.6943001202628694e-06,0.0001776672999909552,0.0001777057042963299
20.81,-5.665399990229621e-06,0.00019721997236837532,0.00019730132857644935
20.82,-7.863469506050268e-06,0.00021899054550744275,0.00021913167998790118
20.83,-1.0298771226968834e-05,0.00024324941953092868,0.00024346733824256425
20.84,-1.2978577339801348e-05,0.0002703030676880797,0.0002706144709200744
20.85,-1.5905808390324344e-05,0.00030049924661224996,0.00030091990953587557
20.86,-1.907726658262968e-05,0.00033423299450106956,0.0003347769954961313
20.87,-2.248135649370108e-05,0.00037195353604134413,0.0003726323179267418
20.88,-2.60951590941167e-05,0.0004141722292766205,0.0004149934852887606
20.89,-2.988069142233928e-05,0.0004614717075038727,0.0004624380959073516
20.9,-3.3780142577297243e-05,0.0005145163884924448,0.0005156240995724025
20.91,-3.770982497194599e-05,0.0005740645434709163,0.0005753017738282112
20.92,-4.155251572888445e-05,0.0006409821387784797,0.0006423275751487192
20.93,-4.5147783904712356e-05,0.0007162586828157553,0.0007176801676934283
20.94,-4.8279801560093524e-05,0.0008010253284052389,0.0008024789816471226
20.95,-5.0662016551253813e-05,0.0008965754936324595,0.0008980057102843655
20.96,-5.1917917594022755e-05,0.0010043882694424798,0.001005729220993881
20.97,-5.1556942138728285e-05,0.0011261548751581993,0.0011273344318015288
20.98,-4.8944358566797216e-05,0.001263808397361344,0.0012647557928219045
20.99,-4.3263689024698634e-05,0.001419556994598474,0.0014202161130269849
21.0,-3.346992000514641e-05,0.0015959206584805125,0.0015962715883301387
