omega,amplitude,avg_phase,avg_pressure,gamma_avg_phase_over_pressure,total_avg,max_instantaneous_phase,max_instantaneous_pressure
0.5,1.0,0.0625,0.0625,1.0,0.125,0.125,0.125
1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5
3.0,0.7,1.1024999999999996,1.1024999999999998,0.9999999999999998,2.204999999999999,2.204999999999999,2.2049999999999996
10.0,0.2,1.0000000000000002,1.0,1.0000000000000002,2.0,2.0,2.0
