target,target_id,L_cert,mode,status
3_1,3:1:1,16.371637,dry_run_plan,PLANNED
4_1,4:1:1,21.043322,dry_run_plan,PLANNED
5_1,5:1:1,23.598564,dry_run_plan,PLANNED
5_2,5:1:2,24.734148,dry_run_plan,PLANNED
6_1,6:1:1,28.354929,dry_run_plan,PLANNED
6_2,6:1:2,28.508783,dry_run_plan,PLANNED
6_3,6:1:3,28.915367,dry_run_plan,PLANNED
7_1,7:1:1,30.700289,dry_run_plan,PLANNED
7_2,7:1:2,31.931015,dry_run_plan,PLANNED
7_3,7:1:3,31.964205,dry_run_plan,PLANNED
7_4,7:1:4,32.130192,dry_run_plan,PLANNED
7_5,7:1:5,32.627506,dry_run_plan,PLANNED
7_6,7:1:6,32.82069,dry_run_plan,PLANNED
7_7,7:1:7,32.800343,dry_run_plan,PLANNED
8_1,8:1:1,35.491375,dry_run_plan,PLANNED
9_1,9:1:1,37.744167,dry_run_plan,PLANNED
9_2,9:1:2,39.016441,dry_run_plan,PLANNED
10_1,10:1:1,42.58107,dry_run_plan,PLANNED
