id,name,crossing,index,kind,conway,L_cert,D_database,n_components
3:1:1,3_1,3,1,ordinary_knot,3,16.371637,1.0,1
4:1:1,4_1,4,1,ordinary_knot,2 2,21.043322,1.0,1
5:1:1,5_1,5,1,ordinary_knot,5,23.598564,1.0,1
5:1:2,5_2,5,2,ordinary_knot,3 2,24.734148,1.0,1
6:1:1,6_1,6,1,ordinary_knot,4 2,28.354929,1.0,1
6:1:2,6_2,6,2,ordinary_knot,3 1 2,28.508783,1.0,1
6:1:3,6_3,6,3,ordinary_knot,2 1 1 2,28.915367,1.0,1
7:1:1,7_1,7,1,ordinary_knot,7,30.700289,1.0,1
7:1:2,7_2,7,2,ordinary_knot,5 2,31.931015,1.0,1
7:1:3,7_3,7,3,ordinary_knot,4 3,31.964205,1.0,1
7:1:4,7_4,7,4,ordinary_knot,3 1 3,32.130192,1.0,1
7:1:5,7_5,7,5,ordinary_knot,3 2 2,32.627506,1.0,1
7:1:6,7_6,7,6,ordinary_knot,2 2 1 2,32.82069,1.0,1
7:1:7,7_7,7,7,ordinary_knot,2 1 1 1 2,32.800343,1.0,1
8:1:1,8_1,8,1,ordinary_knot,6 2,35.491375,1.0,1
9:1:1,9_1,9,1,ordinary_knot,9,37.744167,1.0,1
9:1:2,9_2,9,2,ordinary_knot,7 2,39.016441,1.0,1
10:1:1,10_1,10,1,ordinary_knot,8 2,42.58107,1.0,1
