requested,resolved_id,status
K11a367,K11a367,MISSING_FROM_IDEAL
K11a247,K11a247,MISSING_FROM_IDEAL
L2a1,L2a1,MISSING_FROM_IDEAL_LINK
L4a1,L4a1,MISSING_FROM_IDEAL_LINK
L5a1,L5a1,MISSING_FROM_IDEAL_LINK
L6a1,L6a1,MISSING_FROM_IDEAL_LINK
L8a1,L8a1,MISSING_FROM_IDEAL_LINK
L6a4,L6a4,MISSING_FROM_IDEAL_LINK
L6n1,L6n1,MISSING_FROM_IDEAL_LINK
