normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_mean,alpha_inv_blind_std,alpha_inv_blind_span,alpha_inv_blind_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_mean,DeltaF_phys_std,stability_gate
raw,4,4,0,0.0,120.81454064970382,71.44825621292243,162.33901216879582,0.5913878894766761,0.4397475751504884,0.6411331029320063,-32.69411994467481,142.89651242584486,FAIL_STABILITY_GATE
Mmax,4,4,4,1.0,137.17972345170975,0.26351953850775417,0.5656498085177191,0.0019209802431225836,0.0013588796411558139,0.0029820144322418897,0.03624565933705222,0.5270390770155132,PASS_STABLE_NORMALIZER
sqrtM,4,4,4,1.0,136.87731028151774,4.258773618724904,9.411093187843989,0.031113802645345797,0.023935124478080758,0.043724914704676876,-0.5685806810470044,8.517547237449811,FAIL_STABILITY_GATE
L,4,4,4,1.0,136.16315201282924,4.363929181585595,9.915370788084488,0.03204926675885431,0.026858979875055946,0.03915924062341883,-1.9968972184239469,8.727858363171206,FAIL_STABILITY_GATE
L2,4,4,4,1.0,137.1006172019691,0.26654083544239543,0.6056127640038653,0.0019441257149830486,0.0016404975051466388,0.002391774998342959,-0.12196684014425635,0.5330816708847833,PASS_STABLE_NORMALIZER
L3,4,4,4,1.0,137.15787586596528,0.016279828109520958,0.03698972310397153,0.00011869408159565029,0.00010019859566191883,0.00014608525476046422,-0.007449512151915067,0.03255965621903825,PASS_STABLE_NORMALIZER
NsoftV,4,4,4,1.0,136.1859573471848,4.264253681843565,9.688896091244715,0.03131199254980833,0.02624550011170311,0.03826481344180265,-1.9512865497128702,8.528507363687122,FAIL_STABILITY_GATE
NsoftV_L,4,4,4,1.0,137.102010110199,0.2604528377071234,0.5917801025672418,0.0018997010875170851,0.0016030272800703343,0.0023371450173532726,-0.11918102368448526,0.5209056754142386,PASS_STABLE_NORMALIZER
leading_full,4,4,4,1.0,137.102010110199,0.2604528377071234,0.5917801025672418,0.0018997010875170851,0.0016030272800703343,0.0023371450173532726,-0.11918102368448526,0.5209056754142386,PASS_STABLE_NORMALIZER
leading_half,4,4,4,1.0,137.04241959835673,0.5209056754142407,1.1835602051344836,0.0038010542789663855,0.0032060545601406685,0.004674290034706545,-0.23836204736897051,1.0418113508284772,PASS_STABLE_NORMALIZER
M_L,4,4,4,1.0,137.16270753142481,0.016095292803024117,0.03454885866764812,0.00011734452529188072,8.299789014626635e-05,0.00018213600289962244,0.002213818767184481,0.03219058560603414,PASS_STABLE_NORMALIZER
sqrtM_L,4,4,4,1.0,137.14423668653302,0.26011812544640955,0.5748124078866681,0.0018966755857262505,0.0014619137500501938,0.0026706380443133858,-0.03472787101636875,0.5202362508928295,PASS_STABLE_NORMALIZER
M_L2,4,4,4,1.0,137.16166823004758,0.000983071129691701,0.002110181276947287,7.167243898221578e-06,5.0693597579197394e-06,1.112453487601376e-05,0.00013521601271929856,0.0019661422593697194,PASS_STABLE_NORMALIZER
