selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_long_target,leading_half_alpha_inv,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_normalized,finite_correction_half,alpha_inv_pred_blind_v9,correction_to_leading_ratio,gate
M_L2,g001_nc24_nt5_ns96_tf0p35_of2p4,24,5,96,0.35,2.4,16.372460056045686,137.16160062204122,175.87768521985979,57632.35138166447,0.003051718019539537,0.0015258590097697684,137.163126481051,1.112453487601376e-05,PASS_SUBLEADING_CORRECTION
M_L2,g002_nc32_nt6_ns144_tf0p3_of2p8,32,6,144,0.3,2.8,16.372460056045686,137.16160062204122,-79.39885243902464,89799.24517608185,-0.0008841817354181127,-0.00044209086770905637,137.1611585311735,3.2231387334657164e-06,PASS_SUBLEADING_CORRECTION
M_L2,g003_nc40_nt7_ns196_tf0p25_of3p2,40,7,196,0.25,3.2,16.372460056045686,137.16160062204122,-148.8003391177319,127327.28793623546,-0.0011686445343299073,-0.0005843222671649536,137.16101629977405,4.2601009649566295e-06,PASS_SUBLEADING_CORRECTION
M_L2,g004_nc48_nt8_ns256_tf0p2_of3p6,48,8,256,0.2,3.6,16.372460056045686,137.16160062204122,-78.45497344180247,171288.70945527253,-0.0004580276989143227,-0.00022901384945716135,137.16137160819176,1.6696644572428524e-06,PASS_SUBLEADING_CORRECTION
