normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_normalized,correction_to_leading_ratio,gate
raw,no normalization,1.0,175.87768521985979,175.87768521985979,0.6411331029320063,FAIL_NOT_SUBLEADING
Mmax,divide by pair-fit M_max,215.0,175.87768521985979,0.8180357452086502,0.0029820144322418897,PASS_SUBLEADING_CORRECTION
sqrtM,divide by sqrt(M_max),14.66287829861518,175.87768521985979,11.994758575911414,0.043724914704676876,PASS_SUBLEADING_CORRECTION
L,divide by restored longitudinal length,16.372460056045686,175.87768521985979,10.742288246103572,0.03915924062341883,PASS_SUBLEADING_CORRECTION
L2,divide by restored longitudinal length squared,268.0574482868115,175.87768521985979,0.6561193742010004,0.002391774998342959,PASS_SUBLEADING_CORRECTION
L3,divide by restored longitudinal length cubed,4388.759864801354,175.87768521985979,0.04007457474044788,0.00014608525476046422,PASS_SUBLEADING_CORRECTION
NsoftV,divide by N_soft V_soft,16.755160819145562,175.87768521985979,10.4969261183629,0.03826481344180265,PASS_SUBLEADING_CORRECTION
NsoftV_L,divide by N_soft V_soft L,274.32320124408244,175.87768521985979,0.6411331029320063,0.0023371450173532726,PASS_SUBLEADING_CORRECTION
leading_full,divide by full leading length term N_soft V_soft L,274.32320124408244,175.87768521985979,0.6411331029320063,0.0023371450173532726,PASS_SUBLEADING_CORRECTION
leading_half,divide by half leading length term,137.16160062204122,175.87768521985979,1.2822662058640126,0.004674290034706545,PASS_SUBLEADING_CORRECTION
M_L,divide by M_max times length,3520.0789120498225,175.87768521985979,0.04996413137722591,0.00018213600289962244,PASS_SUBLEADING_CORRECTION
sqrtM_L,divide by sqrt(M_max) times length,240.06738925073614,175.87768521985979,0.7326179776802837,0.0026706380443133858,PASS_SUBLEADING_CORRECTION
M_L2,divide by M_max times length squared,57632.35138166447,175.87768521985979,0.003051718019539537,1.112453487601376e-05,PASS_SUBLEADING_CORRECTION
