t,phi_model_real,phi_model_imag,phi_model_abs
20.0,-0.0005410578747668661,0.00013061540351616357,0.0005566004019787697
20.01,-0.0005332997471920102,0.0001415438112366347,0.0005517637817530741
20.02,-0.0005252192656187759,0.00015116187216484406,0.0005465392836507794
20.03,-0.00051694278588386,0.00015949706152653553,0.0005409890539677912
20.04,-0.0005085850903475372,0.0001665880905780554,0.0005351732299417217
20.05,-0.0005002488649668286,0.00017248261374548654,0.0005291494863883693
20.06,-0.000492024537983109,0.00017723506728025185,0.0005229726714191929
20.07,-0.0004839904236231278,0.000180904681529218,0.0005166945267351712
20.08,-0.0004762131135490259,0.00018355369479821875,0.0005103634865369338
20.09,-0.0004687480607323523,0.00018524578429662513,0.0005040245480529821
20.1,-0.0004616403043080699,0.00018604471906176907,0.0004977192060312923
20.11,-0.00045492528916448534,0.00018601323117817384,0.0004914854432175335
20.12,-0.0004486297400001774,0.00018521209499027633,0.0004853577688090651
20.13,-0.00044277255586719924,0.00018369939922413019,0.00047936729707446504
20.14,-0.00043736569745691123,0.00018152999378068314,0.00047354185871365716
20.15,-0.0004324150453029077,0.00017875509119989226,0.00046790613805997196
20.16,-0.00042792121248174894,0.00017542200217418979,0.0004624818298470239
20.17,-0.0004238803001795198,0.00017157398476042062,0.000457287809947793
20.18,-0.0004202845886007915,0.00016725018787779687,0.0004523403152058137
20.19,-0.0004171231591253929,0.00016248567108277315,0.0004476531281985719
20.2,-0.00041438244639016846,0.00015731148430748071,0.00044323776347613206
20.21,-0.0004120467211426231,0.0001517547930995549,0.00043910365249343503
20.22,-0.0004100985063437677,0.00014583903679536727,0.00043525832508843496
20.23,-0.00040851893016165253,0.00013958410891433423,0.0004317075859442707
20.24,-0.00040728802026846443,0.00013300655082036528,0.0004284556850076044
20.25,-0.000406384944302132,0.00012611975131999065,0.00042550548131424016
20.26,-0.0004057882015431919,0.00011893414633196247,0.0004228586000962624
20.27,-0.00040547577084687096,0.00011145741406111214,0.0004205155834128557
20.28,-0.0004054252197075256,0.00010369466224167911,0.0004184760348601952
20.29,-0.00040561377906091347,9.564860498578257e-05,0.00041673875917629956
20.3,-0.00040601838808072046,8.731972759616456e-05,0.000415301897764909
20.31,-0.0004066157128276094,7.87064383892551e-05,0.00041416306132032897
20.32,-0.00040738214218277984,6.980520714186644e-05,0.000413319460845421
20.33,-0.00040829376405599025,6.061069023652667e-05,0.00041276803841619914
20.34,-0.00040932632441502653,5.111584295012886e-05,0.0004125055990645676
20.35,-0.0004104551712437059,4.131201962174044e-05,0.0004125289451249779
20.36,-0.0004116551851047584,3.118906265885786e-05,0.0004128350143255427
20.37,-0.00041290069756633516,2.0735381506702227e-05,0.0004134210228048335
20.38,-0.000414165398344324,9.938022820478938e-06,0.0004142846141039912
20.39,-0.0004154222316243633,-1.2172668471980576e-06,0.00041542401503324707
20.4,-0.0004166432816491699,-1.2745984496429186e-05,0.0004168381991422724
20.41,-0.0004177996472987303,-2.4664818918436907e-05,0.00041852705835492015
20.42,-0.0004188613050452942,-3.699160239782358e-05,0.00042049158316452144
20.43,-0.0004197969593373859,-4.974526460210292e-05,0.00042273405164387697
20.44,-0.0004205738791560032,-6.294578744828925e-05,0.0004252582274169585
20.45,-0.00042115771919218776,-7.661415981389924e-05,0.00042806956668181323
20.46,-0.0004215123238167962,-9.077233104345596e-05,0.0004311754343796715
20.47,-0.0004215995117517849,-0.00010544316228486766,0.00043458532969024204
20.48,-0.00042137883910044747,-0.00012065037476211199,0.00043831112120487983
20.49,-0.00042080733815279086,-0.00013641849414750438,0.00044236729240384624
20.5,-0.0004198392291393233,-0.00015277279022666074,0.0004467711984427158
20.51,-0.00041842560185902886,-0.00016973921104388655,0.0004515433357462953
20.52,-0.00041651406383960774,-0.0001873443106704185,0.00045670762651477495
20.53,-0.00041404835139135447,-0.00020561516964047062,0.0004622917209686737
20.54,-0.00041096789957235545,-0.00022457930694954652,0.000468327320993397
20.55,-0.0004072073666774913,-0.0002442645822976478,0.00047485052978959725
20.56,-0.0004026961083783816,-0.000264699086984907,0.000481902233190236
20.57,-0.00039735759605433814,-0.0002859110215268146,0.0004895285194680583
20.58,-0.00039110877314842986,-0.0003079285576474226,0.0004977811457342393
20.59,-0.0003838593425317698,-0.00033077968183257284,0.0005067180604262895
20.6,-0.00037551097684096853,-0.0003544920170790204,0.0005164039929171839
20.61,-0.0003659564425402497,-0.00037909261885756717,0.0005269111229695229
20.62,-0.0003550786270246056,-0.00040460774061655747,0.0005383198446430471
20.63,-0.00034274945638341207,-0.0004310625633811666,0.0005507196413783212
20.64,-0.0003288286894522882,-0.00045848088314791335,0.00056421009138352
20.65,-0.00031316257144116475,-0.0004868847488227588,0.0005789020252062032
20.66,-0.00029558232768407607,-0.0005162940423947753,0.000594918860561232
20.67,-0.00027590247484134557,-0.0005467259918620427,0.0006123981432051487
20.68,-0.00025391892310908104,-0.0005781946061153409,0.000631493327006509
20.69,-0.00022940683855564298,-0.0006107100195248865,0.0006523758314991306
20.7,-0.00020211822947492522,-0.0006442777323444146,0.0006752374212682081
20.71,-0.0001717792144731559,-0.0006788977312350029,0.0007002929586973218
20.72,-0.00013808692269422267,-0.0007145634721992298,0.0007277835901011918
20.73,-0.000100705967908105,-0.0007512607060023744,0.0007579804353382047
20.74,-5.9264427856106e-05,-0.0007889661237407474,0.0007911888629269321
20.75,-1.3349247919334358e-05,-0.0008276457976122887,0.0008277534468217534
20.76,3.749902656395799e-05,-0.0008672533891921075,0.0008680637177410662
20.77,9.379230267027484e-05,-0.0009077280946773925,0.0009125608417562313
20.78,0.00015610191149599277,-0.000948992293754734,0.0009617453823016641
20.79,0.00022506665903958384,-0.000990948866128914,0.0010161863295151243
20.8,0.0003014021471125377,-0.0010334781375846349,0.0010765316136321559
20.81,0.00038591159205077365,-0.0010764344161072804,0.0011435203579558103
20.82,0.0004794984136768908,-0.001119642078590566,0.00121799717276735
20.83,0.0005831809209103714,-0.0011628911707567153,0.0013009288456859555
20.84,0.0006981094855950599,-0.0012059324881487216,0.0013934238478834665
20.85,0.0008255866748395369,-0.001248472115870578,0.0014967551509111172
20.86,0.0009670909072368409,-0.0012901654211256667,0.0016123869376575043
20.87,0.001124304313038975,-0.0013306105182367297,0.0017420058953861951
20.88,0.0012991456165918642,-0.0013693412643845267,0.0018875579014843674
20.89,0.0014938090255794153,-0.0014058199007031956,0.002051291056411953
20.9,0.0017108103110392405,-0.001439429534230768,0.0022358061866749514
20.91,0.0019530415004779692,-0.0014694667703407,0.0024441161371188493
20.92,0.0022238358900473847,-0.0014951349643557415,0.00267971540046735
20.93,0.002527045417302203,-0.001515538780456147,0.00294666189716
20.94,0.002867132830092096,-0.0015296810459016013,0.0032496730247184146
20.95,0.0032492815454976173,-0.0015364632952159674,0.0035942384477740614
20.96,0.0036795266194137735,-0.001534691946190581,0.003986752502059388
20.97,0.004164910842977872,-0.0015230927806973182,0.004434669542205703
20.98,0.00471367064130393,-0.0015003373733135912,0.00494668607741103
20.99,0.0053354571582301035,-0.0014650863885090149,0.005532954112687294
21.0,0.00604159863918089,-0.0014160563377819653,0.006205330746118603
21.01,0.006845410922630511,-0.001352118555173246,0.0069776697605226975
21.02,0.00776256343866044,-0.001272441936392572,0.007866161682848776
21.03,0.008811508467450732,-0.0011766945364049917,0.008889729551789599
21.04,0.0100139813494339,-0.0010653235929399723,0.01007048841042402
21.05,0.011395578601666775,-0.0009399391092885226,0.011434277292244395
21.06,0.012986419118018577,-0.0008038329560096177,0.013011273147928512
21.07,0.014821890318580782,-0.0006626736782927332,0.014836696701757461
21.08,0.01694347560785662,-0.0005254269011335498,0.01695162054502362
21.09,0.01939965094898994,-0.0004055623667898352,0.019403889758911802
21.1,0.022246825688922507,-0.00032262097866131374,0.022249164872623305
21.11,0.025550284670041962,-0.000304228215386541,0.025552095834338494
21.12,0.029385063610236878,-0.00038865291822354886,0.02938763369971307
21.13,0.03383665603615139,-0.0006280211084497416,0.033842483688722946
21.14,0.03900140598985492,-0.0010923006716577637,0.039016698860139296
21.15,0.04498638476600338,-0.0018741708717483169,0.04502540761360647
21.16,0.051908481102575656,-0.0030948758190278945,0.052000660252651196
21.17,0.05989235266733461,-0.004911126787159135,0.0600933696371566
21.18,0.06906679432218565,-0.007523056647799146,0.06947530827041426
21.19,0.07955898028073105,-0.011183131254082438,0.08034110882951384
21.2,0.09148594163654186,-0.016205777070325014,0.092910197113007
21.21,0.10494256179229117,-0.022977281644279608,0.10742856578810592
21.22,0.1199853304406027,-0.031965255595015014,0.12417027456760842
21.23,0.13661111955728863,-0.043726608285187506,0.1434385382622886
21.24,0.15473036724534417,-0.05891258921664826,0.16556623966282685
21.25,0.17413431800121434,-0.07826900117092035,0.190915680995673
21.26,0.19445641436121958,-0.10262923466183463,0.21987736785193748
21.27,0.21512860466153488,-0.13289736420448225,0.2528676055886119
21.28,0.2353342517547139,-0.17001826861314376,0.2903246832619682
21.29,0.25396049975950785,-0.2149316989941419,0.33270342750054055
21.3,0.2695543421504506,-0.26850754875959104,0.38046793178012567
21.31,0.28028814138208175,-0.331460417520916,0.43408230853440893
21.32,0.2839418165474256,-0.4042430300492858,0.4939993750276206
21.33,0.27791010647109654,-0.48692025486326024,0.5606472704605621
21.34,0.2592439293194959,-0.5790283669826117,0.634414111333884
21.35,0.22473455145564733,-0.679427699377334,0.7156309225425828
21.36,0.17104770494894248,-0.7861606579033906,0.8045532284463176
21.37,0.09491167969906637,-0.8963307942587156,0.9013418439636309
21.38,-0.006641363381389822,-1.0060216389944705,1.0060435606039553
21.39,-0.1359879487478411,-1.1102755777782942,1.1185725639472703
21.4,-0.2945942838274586,-1.203152474832605,1.2386935334293285
21.41,-0.48268814245209574,-1.2778843862975215,1.366007447859216
21.42,-0.6989512789793769,-1.3271362117899166,1.4999411371887224
21.43,-0.9402672695017126,-1.3433725778927184,1.6397415714466512
21.44,-1.2015616700891327,-1.3193192452431581,1.7844757543593475
21.45,-1.475769013443999,-1.2484940684832293,1.9330368905117357
21.46,-1.7539537967927759,-1.1257697021317796,2.0841572261999977
21.47,-2.025600303205162,-0.9479198228046554,2.236427637731848
21.48,-2.2790697374182853,-0.7140946110155737,2.3883236760324875
21.49,-2.5022044651629796,-0.426171212142447,2.5382373977901507
21.5,-2.6830404932273066,-0.08893175133626069,2.684513949431659
21.51,-2.810573402305309,0.2899649138572419,2.825491550334964
21.52,-2.8755123010368084,0.700232384975259,2.9595432732741282
21.53,-2.8709529597375427,1.1294191063982482,3.08511886560683
21.54,-2.7929060596367474,1.5635533686915868,3.200784809183909
21.55,-2.64062918359206,1.987920280149765,3.3052608861432997
21.56,-2.4167302717553603,2.3879055320555977,3.3974516974403723
21.57,-2.127033265307507,2.749833824641612,3.476471857338677
21.58,-1.7802204799053798,3.0617312902441927,3.541663938141917
21.59,-1.3872877505974972,3.3139507417349003,3.592608637411423
21.6,-0.9608648979502669,3.499614524833684,3.6291270540640856
