Object,Actual Mass (kg),Predicted Mass (kg),% Error
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.6749274980400004e-27,0.000% 🩷️
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.656202927239658e-27,0.15% ❤️🡅
Li,1.1524141126186498e-26,1.1649896001985495e-26,1.09% 🟢🡅
Be,1.496511018118414e-26,1.496537671865821e-26,0.002% 🩷️
B,1.7950427316149283e-26,1.8280568375131058e-26,1.84% 🟢🡅
C,1.994473473582507e-26,1.993101379942534e-26,-0.07% ❤️🡇
N,2.325867255218392e-26,2.3257880357522798e-26,-0.003% 🩷️
O,2.656696453571437e-26,2.656311907797954e-26,-0.01% ❤️🡇
F,3.154692119816874e-26,3.153997140351676e-26,-0.02% ❤️🡇
Ne,3.3509678375568226e-26,3.3194432081420884e-26,-0.94% ❤️🡇
Na,3.817540956980222e-26,3.816971466409142e-26,-0.01% ❤️🡇
Mg,4.035940202766034e-26,3.982562751218357e-26,-1.32% 🟢🡇
Al,4.480389877170523e-26,4.4799890994970865e-26,-0.009% 🩷️
Si,4.663623970157749e-26,4.6457082543654604e-26,-0.38% ❤️🡇
P,5.1433141858344745e-26,5.1430675035773043e-26,-0.005% 🩷️
S,5.323688249359353e-26,5.308902818325359e-26,-0.28% ❤️🡇
Cl,5.886610993131287e-26,5.806218471745262e-26,-1.37% 🟢🡇
Ar,6.633521465546083e-26,6.634720740231791e-26,0.02% ❤️🡅
K,6.492425461008321e-26,6.469450169862128e-26,-0.35% ❤️🡇
Ca,6.655108473419344e-26,6.635494372740187e-26,-0.29% ❤️🡇
Sc,7.464953376480028e-26,7.463855139557642e-26,-0.01% ❤️🡇
Ti,7.948502352841052e-26,7.960957716529813e-26,0.16% ❤️🡅
V,8.45911811599701e-26,8.458733864229118e-26,-0.005% 🩷️
Cr,8.634138933677134e-26,8.624251076530132e-26,-0.11% ❤️🡇
Mn,9.122669527239679e-26,9.122000506720398e-26,-0.007% 🩷️
Fe,9.273280420632346e-26,9.287657769709294e-26,0.16% ❤️🡅
Co,9.786054884575631e-26,9.785388874864296e-26,-0.007% 🩷️
Ni,9.746201946963458e-26,9.785861792610907e-26,0.41% ❤️🡅
Cu,1.0552061556262928e-25,1.0614924765525392e-25,0.60% ❤️🡅
Zn,1.0856604421182608e-25,1.078069290666799e-25,-0.70% ❤️🡇
Ga,1.1577776538056212e-25,1.1610228854718506e-25,0.28% ❤️🡅
Ge,1.2060495244883648e-25,1.2107743559986186e-25,0.39% ❤️🡅
As,1.2441090799079895e-25,1.2439510653972097e-25,-0.01% ❤️🡇
Se,1.3113443067378584e-25,1.3103413253182646e-25,-0.08% ❤️🡇
Br,1.3268371362345906e-25,1.3269345296410415e-25,0.007% 🩷️
Kr,1.3914985275103401e-25,1.3932876298722325e-25,0.13% ❤️🡅
Rb,1.4192295299321434e-25,1.4098824977944849e-25,-0.66% ❤️🡇
Sr,1.4549643306577245e-25,1.4596529734718586e-25,0.32% ❤️🡅
Y,1.4763188630615803e-25,1.4762599875332568e-25,-0.004% 🩷️
Zr,1.51481015863867e-25,1.5094535838429048e-25,-0.35% ❤️🡇
Nb,1.542740425748534e-25,1.5426503517970402e-25,-0.006% 🩷️
Mo,1.593287234953306e-25,1.5924236429891728e-25,-0.05% ❤️🡇
Tc,1.6273282858303698e-25,1.6256646083359733e-25,-0.10% ❤️🡇
Ru,1.6783068351926068e-25,1.6754435499443483e-25,-0.17% ❤️🡇
Rh,1.7088607540286058e-25,1.708647837113963e-25,-0.01% ❤️🡇
Pd,1.7671456752864078e-25,1.758432826683052e-25,-0.49% ❤️🡇
