Object,Actual Mass (kg),Predicted Mass (kg),% Error,Predicted Mass (kg) [CANON],% Error [CANON],Predicted Mass (kg) [Sector Norm],% Error [Sector Norm]
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.67262192369e-27,0.000% 🩷️,1.6204011882387627e-27,-3.12% 🟡🡇,1.67262192369e-27,0.000% 🩷️
Neutron,1.67492749804e-27,1.6749274980400004e-27,0.000% 🩷️,1.6820933140661992e-27,0.43% ❤️🡅,1.736302204182863e-27,3.66% 🟡🡅
H,1.6735576934604897e-27,1.67353286206015e-27,-0.001% 🩷️,1.6213121266089127e-27,-3.12% 🟡🡇,1.67353286206015e-27,-0.001% 🩷️
He,6.646476991348174e-27,6.656202927239658e-27,0.15% ❤️🡅,6.566093088389581e-27,-1.21% 🟢🡇,6.778952339525382e-27,1.99% 🟢🡅
Li,1.1524141126186498e-26,1.1649896001985495e-26,1.09% 🟢🡅,1.1521897059736579e-26,-0.02% ❤️🡇,1.1895394826556946e-26,3.22% 🟡🡅
Be,1.496511018118414e-26,1.496537671865821e-26,0.002% 🩷️,1.479232285698426e-26,-1.15% 🟢🡇,1.5272250249372526e-26,2.05% 🟢🡅
B,1.7950427316149283e-26,1.8280568375131058e-26,1.84% 🟢🡅,1.8062459594032067e-26,0.62% ❤️🡅,1.8648816611988235e-26,3.89% 🟡🡅
C,1.994473473582507e-26,1.993101379942534e-26,-0.07% ❤️🡇,1.9660684282875107e-26,-1.42% 🟢🡇,2.0299262036282516e-26,1.78% 🟢🡅
N,2.325867255218392e-26,2.3257880357522798e-26,-0.003% 🩷️,2.2942495921547524e-26,-1.36% 🟢🡇,2.3687503300522835e-26,1.84% 🟢🡅
O,2.656696453571437e-26,2.656311907797954e-26,-0.01% ❤️🡇,2.6202679722579234e-26,-1.37% 🟢🡇,2.705411672712244e-26,1.83% 🟢🡅
F,3.154692119816874e-26,3.153997140351676e-26,-0.02% ❤️🡇,3.1141642944717615e-26,-1.28% 🟢🡇,3.215371846494539e-26,1.92% 🟢🡅
Ne,3.3509678375568226e-26,3.3194432081420884e-26,-0.94% ❤️🡇,3.27438828871705e-26,-2.29% 🟢🡇,3.3808179142849515e-26,0.89% ❤️🡅
Na,3.817540956980222e-26,3.816971466409142e-26,-0.01% ❤️🡇,3.76812763664422e-26,-1.29% 🟢🡇,3.890621113780577e-26,1.91% 🟢🡅
