selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate,grid_label,stage,stage_dir,Mmax_inferred_from_denominator
M_Lcert2,g001_nc24_nt5_ns96_tf0p35_of2p4,24,5,96,0.35,2.4,16.371637,137.15470540383689,175.87768521985979,57626.55708285033,0.0030520248670590977,0.0015260124335295488,137.1562314162704,1.1126212761249231e-05,PASS_SUBLEADING_CORRECTION,C1_paired_fine,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,215.0
M_Lcert2,g002_nc32_nt6_ns144_tf0p3_of2p8,32,6,144,0.3,2.8,16.371637,137.15470540383689,-79.39885243902464,89790.21685002261,-0.0008842706391014206,-0.0004421353195507103,137.15426326851733,3.223624871264108e-06,PASS_SUBLEADING_CORRECTION,C1_paired_fine,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,335.0
M_Lcert2,g003_nc40_nt7_ns196_tf0p25_of3p2,40,7,196,0.25,3.2,16.371637,137.15470540383689,-148.8003391177319,127314.48657839028,-0.0011687620404934227,-0.0005843810202467113,137.15412102281664,4.260743505124859e-06,PASS_SUBLEADING_CORRECTION,C1_paired_fine,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,475.0
M_Lcert2,g004_nc48_nt8_ns256_tf0p2_of3p6,48,8,256,0.2,3.6,16.371637,137.15470540383689,-78.45497344180247,171271.4882601924,-0.0004580737531901116,-0.0002290368765950558,137.1544763669603,1.6699162884764472e-06,PASS_SUBLEADING_CORRECTION,C1_paired_fine,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,639.0
M_Lcert2,g001_nc24_nt5_ns96_tf0p34_of2p6,24,5,96,0.34,2.6,16.371637,137.15470540383689,-157.6915287907845,57626.55708285033,-0.002736438489012447,-0.0013682192445062236,137.15333718459237,9.975736818344314e-06,PASS_SUBLEADING_CORRECTION,C2_paired_fine_alt_tail,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,215.0
M_Lcert2,g002_nc32_nt6_ns144_tf0p29_of3p0,32,6,144,0.29,3.0,16.371637,137.15470540383689,-18.91409649189896,89790.21685002261,-0.00021064763128361013,-0.00010532381564180507,137.15460008002125,7.679198123877028e-07,PASS_SUBLEADING_CORRECTION,C2_paired_fine_alt_tail,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,335.0
M_Lcert2,g003_nc40_nt7_ns196_tf0p24_of3p4,40,7,196,0.24,3.4,16.371637,137.15470540383689,481.6035439737761,127314.48657839028,0.0037827866797958015,0.0018913933398979007,137.15659679717677,1.3790218383896506e-05,PASS_SUBLEADING_CORRECTION,C2_paired_fine_alt_tail,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,475.0
M_Lcert2,g004_nc48_nt8_ns256_tf0p19_of3p8,48,8,256,0.19,3.8,16.371637,137.15470540383689,662.0895541504128,171271.4882601924,0.003865731306921202,0.001932865653460601,137.15663826949034,1.4092594546935093e-05,PASS_SUBLEADING_CORRECTION,C2_paired_fine_alt_tail,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,639.0
M_Lcert2,g001_nc24_nt5_ns96_tf0p3_of2p8,24,5,96,0.3,2.8,16.371637,137.15470540383689,115.27659989590452,57626.55708285033,0.002000407550466187,0.0010002037752330935,137.1557056076121,7.292522500690763e-06,PASS_SUBLEADING_CORRECTION,C3_cartesian_fine_small,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,215.0
M_Lcert2,g002_nc24_nt5_ns96_tf0p3_of3p4,24,5,96,0.3,3.4,16.371637,137.15470540383689,-22.607844847480383,57626.55708285033,-0.0003923164247861769,-0.00019615821239308846,137.1545092456245,1.4301967388980367e-06,PASS_SUBLEADING_CORRECTION,C3_cartesian_fine_small,StageC,/mnt/data/outputs_routeB_BEM_v15_normalizer_law/_extracted_inputs/outputs_routeB_BEM_v14_stageABC/outputs_routeB_BEM_v14_stageC,215.0
