subset,n_points,alpha_inv_mean,alpha_inv_std,alpha_inv_span,alpha_inv_cv_abs,abs_correction_ratio_max,status
StageA+StageB+StageC+StageD,145,137.22356337162373,0.22297776507024064,1.294308030038792,0.0016249232973667984,0.00930461683469654,ASYMPTOTIC_SUBSET_SUMMARY_ALPHA_BLIND
StageB+StageC+StageD,107,137.16407675136563,0.03577846622143592,0.23923208908760785,0.0002608442900562862,0.0016812531754981427,ASYMPTOTIC_SUBSET_SUMMARY_ALPHA_BLIND
StageC+StageD,57,137.15528451885825,0.0015570936661798626,0.008716795581506176,1.1352779235901546e-05,4.8598007631810106e-05,ASYMPTOTIC_SUBSET_SUMMARY_ALPHA_BLIND
StageD,11,137.15486676613227,0.0008084446198697144,0.0023440146950406415,5.894392513597222e-06,1.2807089106593843e-05,ASYMPTOTIC_SUBSET_SUMMARY_ALPHA_BLIND
