run_id,status,pressure_mode,pressure_scale_mode,pressure_kappa_mode,n_s,n_theta,sphere_n,eps_factor,e_min,e_max,e_count,ropelength_L_over_D,E_p_NLS_or_pressure,kappa_eff,E_star,E_star_minus_Ep,E_star_over_Ep_minus_1,bracket_E_lo,bracket_E_hi,stationary_d2_log,alpha_inv,alpha,alpha_rel_error_vs_CODATA_2022,v_core_pred_m_per_s,run_outdir,action_bem_at_E,action_pressure_at_E,action_total_at_E,d_action_bem_dlogE_at_E,d_action_pressure_dlogE_at_E,d_action_total_dlogE_at_E,d2_action_total_dlogE2_at_E
main_ns100_nt14_sp300_eps0p0400,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.04,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.07482172041506,-5.393635183281731e-05,-1.9679422169627259e-07,273.9313476574032,274.1195450381919,20209.0544464614,137.035912070345,0.007297357202881733,6.356526825661406e-07,1093846.3263779597,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0400,1034.6174509827129,2245.44791270436,3280.065363687073,-0.003378026166653097,0.003378026374418752,2.5917046286849654e-12,20209.05444646141
main_ns100_nt14_sp300_eps0p0500,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.05,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748429229396,-3.273382731094898e-05,-1.1943388544821687e-07,273.9313476574032,274.1195450381919,20209.062105208086,137.03592267172323,0.00729735663834331,5.582905957025579e-07,1093846.241755779,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0500,1405.4820389140377,2245.4479124224563,3650.929951336494,-0.004940558916556802,0.004940558862566391,7.135625423870806e-12,20209.062105208108
main_ns100_nt14_sp300_eps0p0600,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.06,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.07486580655257,-9.850214325979323e-06,-3.593986608319e-08,273.9313476574032,274.1195450381919,20209.070333701642,137.03593411365486,0.007297356029044324,4.747947003218492e-07,1093846.1504241587,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0600,1870.4180187444695,2245.447912118201,4115.86593086267,-0.006626980429519507,0.006626980018140216,-9.78772618509538e-13,20209.07033370164
main_ns100_nt14_sp300_eps0p0800,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.08,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.07491475173197,3.909496507503718e-05,1.426433742235389e-07,273.9313476574032,274.1195450381919,20209.087811943766,137.0359585865122,0.007297354725830518,2.9620749427911815e-07,1093845.9550773236,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0800,3196.6147852350196,2245.447911467438,5442.062696702457,-0.010234023097026663,0.010234022980407431,5.810463221678219e-12,20209.087811943784
main_ns120_nt16_sp360_eps0p0400,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.04,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748411655114,-3.449125551924226e-05,-1.2584610475929736e-07,273.9313476574032,274.1195450381919,20209.06147749806,137.03592179299952,0.00729735668513659,5.647029596079366e-07,1093846.2487699152,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0400,1645.321223278924,2245.4479124458226,3890.7691357247463,-0.004811044511976101,0.0048110441638513635,6.9544370262519806e-12,20209.061477498082
main_ns120_nt16_sp360_eps0p0500,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.05,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748680897919,-7.566975000372622e-06,-2.7609152408736293e-08,273.9313476574032,274.1195450381919,20209.07115760538,137.035935255287,0.007297355968250809,4.664638002246492e-07,1093846.14131144,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0500,2431.0150698548546,2245.4479120878436,4676.462981942699,-0.006795244134938269,0.006795244657460842,1.602273869139026e-12,20209.071157605384
main_ns120_nt16_sp360_eps0p0600,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.06,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748962803917,2.0623624834570364e-05,7.524814082948694e-08,273.9313476574032,274.1195450381919,20209.081235004705,137.03594935074108,0.007297355217648164,3.636042168810133e-07,1093846.028798934,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0600,3515.0202842654176,2245.4479117130286,5760.468195978446,-0.008872767195289248,0.008872767080339017,7.434053372890048e-12,20209.081235004727
main_ns120_nt16_sp360_eps0p0800,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.08,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0749546263457,7.89695787943856e-05,2.881314042912919e-07,273.9313476574032,274.1195450381919,20209.10192287304,137.03597852403715,0.007297353664129836,1.5071628046204974e-07,1093845.795932395,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0800,7014.599300888084,2245.447910937275,9260.047211825358,-0.013172605070143199,0.013172604943914479,-3.700151296470722e-12,20209.10192287303
main_ns140_nt18_sp420_eps0p0400,E0_derived,spherical,nls_shell,nls_shell_stiffness,140,18,420,0.04,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748613650803,-1.4291686568412842e-05,-5.214519038787557e-08,273.9313476574032,274.1195450381919,20209.068751196253,137.03593189289444,0.007297356147302939,4.910003877494956e-07,1093846.168150679,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0400,1835.5367448138998,2245.447912177254,4080.9846569911538,-0.0062996635033288045,0.006299663150238999,2.0392576516314875e-12,20209.068751196257
main_ns140_nt18_sp420_eps0p0500,E0_derived,spherical,nls_shell,nls_shell_stiffness,140,18,420,0.05,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748934230454,1.776627851768353e-05,6.482271852625843e-08,273.9313476574032,274.1195450381919,20209.08022286412,137.0359479220523,0.007297355293727834,3.7402987040448896e-07,1093846.0402029897,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0500,2624.55801831889,2245.447911751019,4870.005930069909,-0.008662193210100047,0.00866219331727791,-3.275602011854062e-12,20209.08022286411
