run_id,status,n_s,n_theta,sphere_n,eps_factor,ropelength_L_over_D,E_p_NLS_or_pressure,kappa_eff,E_star,E_star_minus_Ep,E_star_over_Ep_minus_1,stationary_d2_log,alpha_inv,alpha_rel_error_vs_CODATA_2022,d_action_bem_dlogE_at_E,d_action_pressure_dlogE_at_E,d_action_total_dlogE_at_E,run_outdir
main_ns100_nt14_sp300_eps0p0400,E0_derived,100,14,300,0.04,16.371637,274.0748756567669,6736.341149140669,274.07482172041506,-5.393635183281731e-05,-1.9679422169627259e-07,20209.0544464614,137.035912070345,6.356526825661406e-07,-0.003378026166653097,0.003378026374418752,2.5917046286849654e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0400
main_ns100_nt14_sp300_eps0p0500,E0_derived,100,14,300,0.05,16.371637,274.0748756567669,6736.341149140669,274.0748429229396,-3.273382731094898e-05,-1.1943388544821687e-07,20209.062105208086,137.03592267172323,5.582905957025579e-07,-0.004940558916556802,0.004940558862566391,7.135625423870806e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0500
main_ns100_nt14_sp300_eps0p0600,E0_derived,100,14,300,0.06,16.371637,274.0748756567669,6736.341149140669,274.07486580655257,-9.850214325979323e-06,-3.593986608319e-08,20209.070333701642,137.03593411365486,4.747947003218492e-07,-0.006626980429519507,0.006626980018140216,-9.78772618509538e-13,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0600
main_ns100_nt14_sp300_eps0p0800,E0_derived,100,14,300,0.08,16.371637,274.0748756567669,6736.341149140669,274.07491475173197,3.909496507503718e-05,1.426433742235389e-07,20209.087811943766,137.0359585865122,2.9620749427911815e-07,-0.010234023097026663,0.010234022980407431,5.810463221678219e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0800
main_ns120_nt16_sp360_eps0p0400,E0_derived,120,16,360,0.04,16.371637,274.0748756567669,6736.341149140669,274.0748411655114,-3.449125551924226e-05,-1.2584610475929736e-07,20209.06147749806,137.03592179299952,5.647029596079366e-07,-0.004811044511976101,0.0048110441638513635,6.9544370262519806e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0400
main_ns120_nt16_sp360_eps0p0500,E0_derived,120,16,360,0.05,16.371637,274.0748756567669,6736.341149140669,274.0748680897919,-7.566975000372622e-06,-2.7609152408736293e-08,20209.07115760538,137.035935255287,4.664638002246492e-07,-0.006795244134938269,0.006795244657460842,1.602273869139026e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0500
main_ns120_nt16_sp360_eps0p0600,E0_derived,120,16,360,0.06,16.371637,274.0748756567669,6736.341149140669,274.0748962803917,2.0623624834570364e-05,7.524814082948694e-08,20209.081235004705,137.03594935074108,3.636042168810133e-07,-0.008872767195289248,0.008872767080339017,7.434053372890048e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0600
main_ns120_nt16_sp360_eps0p0800,E0_derived,120,16,360,0.08,16.371637,274.0748756567669,6736.341149140669,274.0749546263457,7.89695787943856e-05,2.881314042912919e-07,20209.10192287304,137.03597852403715,1.5071628046204974e-07,-0.013172605070143199,0.013172604943914479,-3.700151296470722e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0800
main_ns140_nt18_sp420_eps0p0400,E0_derived,140,18,420,0.04,16.371637,274.0748756567669,6736.341149140669,274.0748613650803,-1.4291686568412842e-05,-5.214519038787557e-08,20209.068751196253,137.03593189289444,4.910003877494956e-07,-0.0062996635033288045,0.006299663150238999,2.0392576516314875e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0400
main_ns140_nt18_sp420_eps0p0500,E0_derived,140,18,420,0.05,16.371637,274.0748756567669,6736.341149140669,274.0748934230454,1.776627851768353e-05,6.482271852625843e-08,20209.08022286412,137.0359479220523,3.7402987040448896e-07,-0.008662193210100047,0.00866219331727791,-3.275602011854062e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0500
main_ns140_nt18_sp420_eps0p0600,E0_derived,140,18,420,0.06,16.371637,274.0748756567669,6736.341149140669,274.0749262051218,5.05483549204655e-05,1.844326473765534e-07,20209.091874427068,137.03596431326977,2.544173022769168e-07,-0.011078087014217279,0.011078086995052416,-7.080558361849398e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0600
main_ns140_nt18_sp420_eps0p0800,E0_derived,140,18,420,0.08,16.371637,274.0748756567669,6736.341149140669,274.07499233601624,0.00011667924934499752,4.257203403135179e-07,20209.11514909112,137.03599737907862,1.3124372727923269e-08,-0.01595163994790011,0.015951639817139096,-8.139267038131948e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns140_nt18_sp420_eps0p0800
main_ns160_nt20_sp480_eps0p0400,E0_derived,160,20,480,0.04,16.371637,274.0748756567669,6736.341149140669,274.07488149365,5.836883133270021e-06,2.129667353578668e-08,20209.07596859515,137.03594195728937,4.175568827916631e-07,-0.0077830498163945945,0.007783049698439015,4.392930463836819e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns160_nt20_sp480_eps0p0400
main_ns160_nt20_sp480_eps0p0500,E0_derived,160,20,480,0.05,16.371637,274.0748756567669,6736.341149140669,274.0749180271758,4.237040889165655e-05,1.5459428293063127e-07,20209.08897783598,137.03596022425205,2.842563222791175e-07,-0.010475408792202998,0.010475408661063668,-8.702372156221827e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns160_nt20_sp480_eps0p0500
main_ns160_nt20_sp480_eps0p0600,E0_derived,160,20,480,0.06,16.371637,274.0748756567669,6736.341149140669,274.0749547050292,7.904826230742401e-05,2.884184919782484e-07,20209.101938199237,137.0359785633793,1.5042918690018714e-07,-0.0131784038083185,0.01317840357134159,-4.144240506320784e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns160_nt20_sp480_eps0p0600
main_ns160_nt20_sp480_eps0p0800,E0_derived,160,20,480,0.08,16.371637,274.0748756567669,6736.341149140669,274.07502720759965,0.00015155083275431025,5.529541238225022e-07,20209.127272012072,137.036014815061,-1.1411212523693836e-07,-0.018521517946019583,0.01852151996139817,4.8547832420808845e-12,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns160_nt20_sp480_eps0p0800
