quantity,value,unit
curve,ideal:5:1:2:L=24.734148:D= 1.000000:coeffs=241,
n_points,4096,
length_m,2.189904706195744e-13,m
ds_m,5.346447036610703e-17,m
constants_source,fallback canonical constants,
v_swirl_m_s,1093845.63,m s^-1
r_c_m,1.40897017e-15,m
rho_f_kg_m3,7e-07,kg m^-3
gamma0_m2_s,9.68361918e-09,m^2 s^-1
natural_unit_m,8.852820648924658e-15,m
q0_m_inv,28691592330036.145,m^-1
q_min_m_inv,28691592330036.145,m^-1
phase_source,integrated_torsion,
total_torsion_rad,-28.64025093820263,rad
mean_tau_m_inv,-130783092328962.0,m^-1
rms_tau_m_inv,1417482444966321.8,m^-1
mean_kappa_m_inv,115542783692425.69,m^-1
rms_kappa_m_inv,119121625399630.11,m^-1
q_peak_abs_m_inv,28691592330036.145,m^-1
q50_abs_m_inv,86074776990108.44,m^-1
q90_abs_m_inv,889439362231120.6,m^-1
q95_abs_m_inv,2754392863683470.0,m^-1
ell_eff_95,96.0,
spectral_m2_power_m_inv2,2.7334640176377595e+30,m^-2
edge_fraction_ell_1,0.24906399712866276,1
q_edge_ell_1,28691592330036.145,m^-1
f_edge_ell_1,4.994946249968134e+18,Hz
x1_ell_1,1.094952353097872e-13,m
edge_fraction_ell_2,0.4375193296505711,1
q_edge_ell_2,57383184660072.29,m^-1
f_edge_ell_2,9.989892499936268e+18,Hz
x1_ell_2,5.47476176548936e-14,m
edge_fraction_ell_4,0.6250615798827247,1
q_edge_ell_4,114766369320144.58,m^-1
f_edge_ell_4,1.9979784999872537e+19,Hz
x1_ell_4,2.73738088274468e-14,m
edge_fraction_ell_8,0.7370191012495195,1
q_edge_ell_8,229532738640289.16,m^-1
f_edge_ell_8,3.995956999974507e+19,Hz
x1_ell_8,1.36869044137234e-14,m
edge_fraction_ell_13,0.8099244783352341,1
q_edge_ell_13,372990700290469.9,m^-1
f_edge_ell_13,6.493430124958574e+19,Hz
x1_ell_13,8.42271040844517e-15,m
edge_fraction_ell_21,0.870798498122664,1
q_edge_ell_21,602523438930759.0,m^-1
f_edge_ell_21,1.048938712493308e+20,Hz
x1_ell_21,5.214058824275581e-15,m
edge_fraction_ell_28,0.8937377119170874,1
q_edge_ell_28,803364585241012.0,m^-1
f_edge_ell_28,1.3985849499910775e+20,Hz
x1_ell_28,3.9105441182066855e-15,m
edge_fraction_ell_34,0.9050148224932443,1
q_edge_ell_34,975514139221228.9,m^-1
f_edge_ell_34,1.6982817249891654e+20,Hz
x1_ell_34,3.220448097346682e-15,m
edge_fraction_ell_55,0.9312253062906973,1
q_edge_ell_55,1578037578151988.0,m^-1
f_edge_ell_55,2.747220437482474e+20,Hz
x1_ell_55,1.990822460177949e-15,m
edge_fraction_ell_89,0.9478833958775351,1
q_edge_ell_89,2553551717373217.0,m^-1
f_edge_ell_89,4.4455021624716394e+20,Hz
x1_ell_89,1.2302835428065976e-15,m
