knot,raw_points,raw_arclength,parse_gate_G1,alpha_blind_gate_G2,operator_gate_G3,invariance_gate_G4,invariance_rel_range_S_logdet,resolution_gate_G5,resolution_rel_range_S_logdet,candidate_status,S_logdet,S_trace,S_mean_impedance,S_rel_spread,min_impedance_eig,max_impedance_eig,positive_spectrum,n_modes_used,boundary_nodes,selected_nodes,tube_radius,outer_radius,screening_mu,operator_backend
0_1,1200,6.283178129803185,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,PASS,0.050183434423415656,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.8977265661892583,4.184068753123249,0.8368137506246498,0.05404381398647318,0.806936075994133,0.9263195414463774,True,5,38,38,0.04899611118286412,0.5387344435606022,1.8562020898289011,BEM_V3_AREA_SYMMETRIC_STEKLOV
3_1,1200,16.37231060083242,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,PASS,0.045856450808139104,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9023181539058164,4.180261937810309,0.8360523875620618,0.054241771020785486,0.8073628542854934,0.9262989839954465,True,5,38,38,0.010707325065685004,0.3238842422695065,3.0875228538222386,BEM_V3_AREA_SYMMETRIC_STEKLOV
4_1,1200,21.044656823564374,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.302484298377748,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9128894370368335,4.17161929961178,0.8343238599223559,0.055149401447646594,0.8072577361928548,0.92624062622108,True,5,38,38,0.008881043133422037,0.2578013554014755,3.878955556469804,BEM_V3_AREA_SYMMETRIC_STEKLOV
5_1_1,1200,23.600641107333274,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.6327840411893428,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9022305099405505,4.180333727324005,0.836066745464801,0.05423633664387919,0.8075017862685611,0.9263262405605837,True,5,38,38,0.008746979328871333,0.3338645400364158,2.9952267464251414,BEM_V3_AREA_SYMMETRIC_STEKLOV
5_1_2,1200,24.736353861665716,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,2.122880897075596,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9041395514782875,4.178764086002041,0.8357528172004083,0.054367957310719285,0.807367917018494,0.9262937349279093,True,5,38,38,0.009110426481996094,0.3381523864216264,2.957246614705675,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_1,1200,28.35824093833888,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.6832348630646037,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9044039989417338,4.178547898026247,0.8357095796052494,0.05439172887568375,0.8074489079180348,0.926296599826053,True,5,38,38,0.008196785089026085,0.31730292869638255,3.151562464640436,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_2,1200,28.512214289677907,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.8085501814326677,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9138863978614997,4.1708178028112854,0.834163560562257,0.055292333313182104,0.8074997525713282,0.9263162995670425,True,5,38,38,0.011580367231952998,0.3538699352546797,2.82589703270582,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_3,1200,28.91876164228676,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.882946301326738,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.9308750400823813,4.157137279484215,0.831427455896843,0.05739954630082278,0.7981503411924602,0.9262731924293145,True,5,38,38,0.013539212369233052,0.3197688806610414,3.127258656104223,BEM_V3_AREA_SYMMETRIC_STEKLOV
7_1_1,1200,30.704792223724013,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,FAIL,1.592697243043401,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.90149385294577,4.180937870376485,0.836187574075297,0.054176716779828916,0.8074588253047281,0.9263151273114162,True,5,38,38,0.008574630746672302,0.32692808632687204,3.058776660137335,BEM_V3_AREA_SYMMETRIC_STEKLOV
7_1_2,1200,31.93559745060781,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.0,PASS,0.025046660054423703,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,0.910601685491569,4.173485069888018,0.8346970139776037,0.05494330124089055,0.8073763792820944,0.9262841134818038,True,5,38,38,0.009095423077705753,0.29548038259092096,3.3843194300464075,BEM_V3_AREA_SYMMETRIC_STEKLOV
