knot_id,relative_path,closure_error,length_m,writhe,crossing_true,crossing_est,sigma,twist_n,Hswirl_X(b0=3),H_true,mass_rhof_kg,mass_rhoE_kg,mass_rhof_kg_corr,mass_rhoE_kg_corr,mass_rhof_kg_abs,mass_rhoE_kg_abs,quality_ok
3_1p,3_1\knot.3_1p.fseries,0.0017280098100316,5.137075945772142,3.5988105496146625,3.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4_1,4_1\knot.4_1.fseries,0.0026023950987655,6.167822047037545,0.1986155185451864,4.0,4,1.0,1.0,1.0,1.0,6.071989855757144e-38,5.073706588502996e-08,6.071989855757143e-38,5.073706588502996e-08,6.071989855757143e-38,5.073706588502996e-08,True
5_2,5_2\knot.5_2.fseries,0.0029020197813018,6.12688333490388,4.814718787637728,5.0,5,1.0,2.0,2.0,2.0,1.2063374453162915e-37,1.0080060062116057e-07,1.2063374453162913e-37,1.0080060062116057e-07,1.2063374453162913e-37,1.0080060062116057e-07,True
6_1,6_1\knot.6_1.fseries,0.0026438088070072,6.084180196144456,1.4300746116260858,6.0,6,1.0,3.0,3.0,3.0,1.79689427563811e-37,1.5014706120604297e-07,1.7968942756381097e-37,1.5014706120604297e-07,1.7968942756381097e-37,1.5014706120604297e-07,True
7_2,7_2\knot.7_2.fseries,0.0020832301135266,5.837188770184136,6.225487712306661,7.0,7,1.0,4.0,4.0,4.0,2.298597510005745e-37,1.9206898575061095e-07,2.2985975100057447e-37,1.9206898575061095e-07,2.2985975100057447e-37,1.9206898575061095e-07,True
8_1,8_1\knot.8_1.fseries,0.0020969034653934,5.521447140875818,2.710358672420877,8.0,8,1.0,5.0,5.0,5.0,2.7178289818364767e-37,2.2709963519609097e-07,2.7178289818364767e-37,2.2709963519609097e-07,2.7178289818364767e-37,2.2709963519609097e-07,True
9_2n,9_2\knot.9_2n.fseries,0.0162393479232814,39.05672548232358,-6.800868058043103,9.0,10,-1.0,6.0,-7.0,-6.0,-2.691491865093067e-36,-2.2489892659944352e-06,-2.3069930272226287e-36,-1.9277050851380874e-06,2.3069930272226287e-36,1.9277050851380874e-06,False
10_1,10_1\knot.10_1.fseries,0.017749192869036,42.65113969408837,-3.355620922046083,10.0,12,-1.0,7.0,-9.0,-7.0,-3.778960498950142e-36,-3.157669435668893e-06,-2.9391914991834438e-36,-2.4559651166313622e-06,2.9391914991834438e-36,2.4559651166313622e-06,False
