pair,x,y,speed_min,vx,vy
0-1,0.5175292153589317,0.8559049065782767,1.477139148157149e-10,-4.424328726105814e-11,1.391700622373015e-10
1-2,-1.0000000000000002,-0.0028915706303318522,2.1061587511918036e-10,-1.4128437838835182e-10,-1.0541279065986882e-10
2-0,0.49248747913188606,-0.8703627597299365,2.2532555372631384e-10,1.1414678559750329e-10,-1.9380655667999724e-10
