ell,q0_m_inv,q_edge_m_inv,n_line_m_inv,M2_m_inv3,x1_m,f_edge_Hz,omega_edge_rad_s
1,1.5707963267948965e+06,1.5707963267948965e+06,5.0000000000000000e+05,4.1123351671205658e+17,1.9999999999999999e-06,2.7346140749999994e+11,1.7182086976846492e+12
2,1.5707963267948965e+06,3.1415926535897930e+06,5.0000000000000000e+05,1.6449340668482263e+18,9.9999999999999995e-07,5.4692281499999988e+11,3.4364173953692983e+12
4,1.5707963267948965e+06,6.2831853071795860e+06,5.0000000000000000e+05,6.5797362673929052e+18,4.9999999999999998e-07,1.0938456299999998e+12,6.8728347907385967e+12
