mode,field_kind,W_a_pressure_work,W_hat_shape_jacobian,target_4pi_over_3,rel_error
monopole_H0_ell0,scalar_compression,4.185245370370409,4.185245370370409,4.1887902047863905,0.0008462668796185707
dipole_H1_ell1_x,translation_x,4.185245370370409,4.185245370370409,4.1887902047863905,0.0008462668796185707
dipole_H1_ell1_y,translation_y,4.185245370370409,4.185245370370409,4.1887902047863905,0.0008462668796185707
dipole_H1_ell1_z,translation_z,4.185245370370409,4.185245370370409,4.1887902047863905,0.0008462668796185707
