knot_id,chiral,sigma,type,hyperbolic_volume
10_1,,,,
10_1n,,,,
3_1,,,,
3_1p,,,,
3_1u,,,,
4_1,,,,
4_1d,,,,
4_1p,,,,
4_1z,,,,
5_2,,,,
5_2d,,,,
5_2r,,,,
6_1,,,,
7_2,,,,
7_2d,,,,
7_2r,,,,
8_1,,,,
8_1d,,,,
9_2,,,,
9_2n,,,,
