model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,192,64,255,0.0020151278707744797,0.05318158503100695,0.0007449594069643206,0.026590792515503475,-0.17841274188349562,0.008748561503800819,3_1,0_1,True,0.75,255,,,,
sqrt+inv,PASS_FIT,192,64,255,0.001676734155501253,0.0216323738072198,0.003498261029843383,0.0108161869036099,0.5540665900888766,0.0802597916218282,3_1,0_1,True,0.75,255,-4.083661780893741,0.44560412167255986,,
sqrt+inv+threehalf,PASS_FIT,192,64,255,0.0006514717428524185,-0.22824497797003096,0.007804403849684837,-0.11412248898501548,9.177369764353019,0.26702985965395204,3_1,0_1,True,0.75,255,-100.90095818005977,2.9824851066241007,353.73078909531125,10.878306999304115
sqrt,PASS_FIT,192,64,255,0.003442308402485835,0.06978014306094057,0.0012725644180180836,0.03489007153047029,-0.223213752844817,0.014944583522942095,4_1,0_1,False,0.75,255,,,,
sqrt+inv,PASS_FIT,192,64,255,0.002767771699886225,0.01200965666507121,0.005774551586158179,0.006004828332535605,1.1180460010935227,0.13248419802318245,4_1,0_1,False,0.75,255,-7.477687023141194,0.7355551703121774,,
sqrt+inv+threehalf,PASS_FIT,192,64,255,0.0010616080455856064,-0.40139298271881463,0.012717693451366774,-0.20069649135940731,15.384630255700591,0.43513943702152147,4_1,0_1,False,0.75,255,-167.65437204382476,4.860118984084094,585.220072180466,17.726783025534246
