counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,192,64,255,0.0007477219510938304,0.3995540294143328,0.02605608387450514,0.1997770147071664,-0.0021082364111312114,9.94693941354579e-05,0.09153384855985681,0.004726224975833531,-0.23226701818600154,0.013761135313762888,16.755160819145562,17.154714848559895,8.577357424279947,3_1,0_1,True,0.75,255,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,192,64,255,0.0006364562107548157,-8.241392378757919,1.0250252525596517,-4.120696189378959,0.003328941337505248,0.0006503932536334997,-0.2927621568250944,0.045754222552607776,1.9935808159573731,0.26423838461334104,16.755160819145562,8.513768440387643,4.256884220193822,3_1,0_1,True,0.75,255,4,unit_ball,4.1887902047863905,16.89495417320508,2.0036785141990814,,
hk+inv_sqrt+inv,PASS_FIT,192,64,255,0.0006347819002945447,9.889007284125775,18.320307027870044,4.944503642062887,-0.0012699725499266054,0.004685173555760987,0.13711317016314864,0.436104655497176,-1.7241445477226838,3.7600787412809664,16.755160819145562,26.644168103271337,13.322084051635668,3_1,0_1,True,0.75,255,4,unit_ball,4.1887902047863905,-39.502753318977945,56.93443871509038,79.13130434292533,79.83489367093397
hk,PASS_FIT,192,64,255,0.001169723173294317,0.6541761599028524,0.040761682960788644,0.3270880799514262,-0.003475539339698667,0.00015560818454451143,0.1504196066237415,0.0073936238843161995,-0.3832070081102049,0.02152767996686412,16.755160819145562,17.409336979048415,8.704668489524208,4_1,0_1,False,0.75,255,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,192,64,255,0.0010005262502460102,-12.68827553853313,1.611367215876003,-6.344137769266565,0.004919985647978936,0.001022435655819082,-0.4429703587278885,0.07192686621627994,3.0537159644751775,0.4153898346198969,16.755160819145562,4.066885280612432,2.033442640306216,4_1,0_1,False,0.75,255,4,unit_ball,4.1887902047863905,26.08743294485485,3.1498364170766093,,
hk+inv_sqrt+inv,PASS_FIT,192,64,255,0.000994966587384214,-54.081117498160566,28.7155215907903,-27.040558749080283,0.015419595103255967,0.0073436106825277335,-1.4244027487039594,0.683556920291923,11.541516635694633,5.893603317568326,16.755160819145562,-37.32595667901501,-18.662978339507504,4_1,0_1,False,0.75,255,4,unit_ball,4.1887902047863905,154.84694385009098,89.23988564687181,-180.66174136425144,125.1343991898526
