run_id,returncode,run_dir,h,Rinv,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target_database,L_v8_geom_raw_if_available,delta_L_v8_geom_minus_cert,scale_geom_to_cert,target,reference,normalizer,L_cert_target,NsoftV,leading_full_cert,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,subleading_threshold,gate,status
g001_nc24_nt5_ns96_tf0p32_of3p0,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g001_nc24_nt5_ns96_tf0p32_of3p0,0.041666666666666664,0.3333333333333333,24,5,96,0.32,3.0,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-130.85820850845775,1948.224803,-0.0671679204098798,-0.0335839602049399,137.12112144363195,0.0002448618886683883,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p32_of3p0,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g001_nc24_nt5_ns96_tf0p32_of3p0,0.041666666666666664,0.3333333333333333,24,5,96,0.32,3.0,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,sqrtM_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-130.85820850845775,178.5934748783183,-0.7327155070901433,-0.36635775354507166,136.78834765029183,0.002671127851329429,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g001_nc24_nt5_ns96_tf0p32_of3p0,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g001_nc24_nt5_ns96_tf0p32_of3p0,0.041666666666666664,0.3333333333333333,24,5,96,0.32,3.0,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-130.85820850845775,31895.629269112513,-0.004102700323118561,-0.0020513501615592807,137.15265405367532,1.4956469451917866e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,raw,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,1.0,65.02204238470813,32.511021192354065,169.66572659619095,0.23703905087783136,0.05,FAIL_NOT_SUBLEADING,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Mmax,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,191.0,0.3404295412811944,0.1702147706405972,137.32492017447748,0.0012410421511928344,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,sqrtM,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,13.820274961085254,4.704829865382229,2.3524149326911146,139.507120336528,0.017151543767781708,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,16.371637,3.971627417875691,1.9858137089378456,139.14051911277474,0.014478640766212405,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,268.030498059769,0.24259195448052576,0.12129597724026288,137.27600138107715,0.0008843734298660791,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert3,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,4388.098019163743,0.014817819041585502,0.007408909520792751,137.16211431335768,5.401863172669166e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,NsoftV,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,16.755160819145562,3.8807172957963862,1.9403586478981931,139.09506405173508,0.014147226244881803,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,NsoftV_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,274.30941080767377,0.23703905087783136,0.11851952543891568,137.2732249292758,0.0008641302176979494,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,leading_full_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,274.30941080767377,0.23703905087783136,0.11851952543891568,137.2732249292758,0.0008641302176979494,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,leading_half_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,137.15470540383689,0.47407810175566273,0.23703905087783136,137.3917444547147,0.0017282604353958987,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,3126.9826669999998,0.020793860826574303,0.010396930413287151,137.16510233425018,7.580440191734245e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,sqrtM_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,226.26052490307688,0.2873768741257963,0.14368843706289816,137.2983938408998,0.0010476376777582908,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g002_nc32_nt6_ns144_tf0p26_of3p2,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g002_nc32_nt6_ns144_tf0p26_of3p2,0.03125,0.3125,32,6,144,0.26,3.2,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,65.02204238470813,51193.825129415876,0.0012701149449242187,0.0006350574724621093,137.15534046130935,4.6302273814977965e-06,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,raw,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,1.0,-5.287389953957891,-2.6436949769789453,134.51101042685795,0.01927527728046134,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Mmax,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,279.0,-0.018951218472967348,-0.009475609236483674,137.1452297946004,6.908701534215533e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,sqrtM,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,16.703293088490067,-0.3165477565379808,-0.1582738782689904,136.99643152556789,0.0011539806658690305,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,16.371637,-0.32296037066775246,-0.16148018533387623,136.993225218503,0.0011773579685685274,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,268.030498059769,-0.019726822105068202,-0.009863411052534101,137.14484199278436,7.191449264166604e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,Lcert3,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,4388.098019163743,-0.0012049388894383743,-0.0006024694447191872,137.15410293439217,4.392626873028398e-06,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,NsoftV,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,16.755160819145562,-0.3155678427100602,-0.1577839213550301,136.99692148248187,0.001150408371994623,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,NsoftV_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,274.30941080767377,-0.01927527728046134,-0.00963763864023067,137.14506776519664,7.026837768236756e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,leading_full_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,274.30941080767377,-0.01927527728046134,-0.00963763864023067,137.14506776519664,7.026837768236756e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,leading_half_cert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,137.15470540383689,-0.03855055456092268,-0.01927527728046134,137.13543012655643,0.00014053675536473511,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,4567.686723,-0.0011575640525725895,-0.0005787820262862948,137.1541266218106,4.219921034295797e-06,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,sqrtM_Lcert,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,273.4602511493683,-0.01933513163882028,-0.00966756581941014,137.1450378380175,7.048657784612683e-05,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
g003_nc40_nt7_ns196_tf0p2_of3p4,0,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only\runs\g003_nc40_nt7_ns196_tf0p2_of3p4,0.025,0.29411764705882354,40,7,196,0.2,3.4,16.371637,16.372460056045686,0.0008230560456858882,0.9999497292378257,3_1,0_1,M_Lcert2,16.371637,16.755160819145562,274.30941080767377,137.15470540383689,-5.287389953957891,74780.50895867555,-7.070545557372114e-05,-3.535272778686057e-05,137.1546700511091,2.5775803814217213e-07,0.05,PASS_SUBLEADING_CORRECTION,ALPHA_BLIND_CERTIFIED_LENGTH_CANDIDATE_NOT_CODATA_COMPARISON
