counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,480,160,639,0.0012054752946394761,1.7334971251488243,0.03947097153647668,0.8667485625744121,-0.0022303421547064358,4.0495222673104095e-05,0.15855834870197397,0.0030459407744415413,-0.6535199019973762,0.014040897298339872,16.755160819145562,18.488657944294385,9.244328972147192,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.0010822094780180518,-12.860979456196317,1.3651493732776638,-6.430489728098158,0.0007323298134564588,0.00027941128203857877,-0.17293934016731677,0.031118048091896184,2.3863083703418626,0.284525732354531,16.755160819145562,3.8941813629492454,1.9470906814746227,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,36.53306504563504,3.416104119725352,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.0006299561639317347,-428.4370530555291,13.687369723891774,-214.21852652776454,0.03612153579144306,0.0011749401185164325,-5.409789327297648,0.1731408761398122,74.09031086897753,2.3634658457445767,16.755160819145562,-411.68189223638353,-205.84094611819177,3_1,0_1,True,0.75,639,4,unit_ball,4.1887902047863905,1758.7722556598499,56.66259405898382,-3826.257372289616,125.808247923223
hk,PASS_FIT,480,160,639,0.0012667016616815464,2.327359210176242,0.04147571124499322,1.163679605088121,-0.0030955635929776843,4.2551984332060644e-05,0.21668912310831706,0.003200644805850281,-0.8855326175588647,0.014754037696497324,16.755160819145562,19.082520029321806,9.541260014660903,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.001220206548399871,-7.018142855264587,1.539225296629309,-3.5090714276322936,-0.0011984310138564748,0.0003150401867341528,0.00441619103367085,0.035086040943471085,1.0610066255164465,0.32080680206487394,16.755160819145562,9.737017963880975,4.868508981940487,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,23.39377044033729,3.8517058864967004,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.0007274406782128389,-469.6784332438946,15.805464070316921,-234.8392166219473,0.0382003249650158,0.0013567598598268284,-5.825761939248586,0.1999340963336596,80.8889773041899,2.7292076753893397,16.755160819145562,-452.92327242474903,-226.46163621237451,4_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,1940.7603722925885,65.43102236560168,-4259.7672470237285,145.27683422104857
hk,PASS_FIT,480,160,639,0.0003989816701933642,1.2950590542487084,0.013063887926867924,0.6475295271243542,-0.0018111659345554226,1.3402889008852993e-05,0.12334523943329102,0.0010081289454050653,-0.4952432678455698,0.0046471799795619675,16.755160819145562,18.05021987339427,9.025109936697135,5_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.0003967776412687202,0.14407683619920716,0.5005137723433872,0.07203841809960358,-0.0015775170788212328,0.00010244241219747214,0.09720192808625491,0.011409016436818912,-0.255509539274657,0.10431755705063495,16.755160819145562,16.89923765534477,8.449618827672385,5_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,2.8811521950790207,1.2524689188966553,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.0003438287251513162,-93.37689803217589,7.47053708224436,-46.688449016087944,0.00638644729047938,0.0006412798004186502,-1.0812954569870912,0.09449991939627188,15.880713505418848,1.2899745969770295,16.755160819145562,-76.62173721303033,-38.310868606515164,5_1,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,390.45276253290285,30.926322488017032,-861.0585216194002,68.66587228385305
hk,PASS_FIT,480,160,639,0.0003914783914059571,1.4241180913665037,0.012818207484668095,0.7120590456832518,-0.0019813624815046924,1.3150833287242123e-05,0.13489353716604,0.0009891699979241873,-0.543544535619014,0.004559784769288244,16.755160819145562,18.179278910512068,9.089639455256034,5_1_2,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,480,160,639,0.0003908358529662277,2.0403004791871084,0.49301852420330317,1.0201502395935542,-0.002106447220069642,0.0001009083259406767,0.148889451054825,0.011238165175668025,-0.671886832307379,0.10275539029585991,16.755160819145562,18.795461298332672,9.397730649166336,5_1_2,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,-1.5424349841362965,1.2337130607093352,,
hk+inv_sqrt+inv,PASS_FIT,480,160,639,0.0003569851722182536,-73.09937355178899,7.7563937268306615,-36.54968677589449,0.004292220966888194,0.0006658180752401944,-0.7979773826731129,0.09811591508371696,12.292804151462505,1.3393348780162395,16.755160819145562,-56.34421273264343,-28.172106366321714,5_1_2,0_1,False,0.75,639,4,unit_ball,4.1887902047863905,309.8529980236146,32.1097039073838,-691.8197412627168,71.29334011281358
