model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,480,160,639,0.003819852979162445,0.1506875103753344,0.000892448185393164,0.0753437551876672,-1.1502220791182942,0.01659237720192269,3_1,0_1,True,0.75,639,,,,
sqrt+inv,PASS_FIT,480,160,639,0.003696837506964218,0.1234131927295702,0.004878234558243621,0.0617065963647851,-0.14767846145651842,0.1772048185318205,3_1,0_1,True,0.75,639,-8.850904546547877,1.5579934461815208,,
sqrt+inv+threehalf,PASS_FIT,480,160,639,0.0014447255062129568,-0.4308327907491104,0.010953077362602637,-0.2154163953745552,30.135699701328427,0.5933732631960623,3_1,0_1,True,0.75,639,-547.2329915918433,10.494544243849152,3115.0758501373743,60.61888110081066
sqrt,PASS_FIT,480,160,639,0.00595290705962489,0.17278172952640056,0.0013908025078863803,0.08639086476320028,-1.242317918244377,0.025857769898500638,4_1,0_1,False,0.75,639,,,,
sqrt+inv,PASS_FIT,480,160,639,0.00528548116880876,0.09510083258501296,0.0069745605118040534,0.04755041629250648,1.6130601137308875,0.253355125727785,4_1,0_1,False,0.75,639,-25.208557473305795,2.2275106778177354,,
sqrt+inv+threehalf,PASS_FIT,480,160,639,0.0020479724278362576,-0.6985321890615445,0.015526548359603196,-0.34926609453077223,44.97627722926071,0.8411370029910974,4_1,0_1,False,0.75,639,-796.1258311725443,14.876554170105937,4460.523185185767,85.93036986393815
sqrt,PASS_FIT,480,160,639,0.0044562913901785885,0.0852157962280093,0.0010411419461541882,0.04260789811400465,-0.402768634427765,0.0193568883595452,5_1,0_1,False,0.75,639,,,,
sqrt+inv,PASS_FIT,480,160,639,0.003309243198912039,0.0005638002345510777,0.004366776874600031,0.00028190011727553886,2.708851586756837,0.15862580906955318,5_1,0_1,False,0.75,639,-27.470778405677667,1.3946458847631549,,
sqrt+inv+threehalf,PASS_FIT,480,160,639,0.001164585418174629,-0.5039565093897665,0.008829216432997214,-0.2519782546948833,30.275274768146026,0.4783149787839144,5_1,0_1,False,0.75,639,-517.5504638685258,8.459595365497536,2835.5984152567084,48.86455225748583
sqrt,PASS_FIT,480,160,639,0.004938787686007206,0.0851930960918854,0.0011538695684004216,0.0425965480459427,-0.36259670538257854,0.021452717854185663,5_1_2,0_1,False,0.75,639,,,,
sqrt+inv,PASS_FIT,480,160,639,0.0036238572860088853,-0.009980404400601963,0.004781932073954851,-0.0049902022003009815,3.135770759883474,0.17370657258878422,5_1_2,0_1,False,0.75,639,-30.885156474323654,1.5272366964636632,,
sqrt+inv+threehalf,PASS_FIT,480,160,639,0.0013120928665677919,-0.5601760525521633,0.009947533017609568,-0.28008802627608165,33.19784314860148,0.5388987890803141,5_1_2,0_1,False,0.75,639,-565.3328388479581,9.531095409486625,3092.3114059400928,55.053780894466136
