normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,240.2989903864684,240.2989903864684,0.49599196000173046,FAIL_NOT_SUBLEADING
Mmax,M_max,215.0,240.2989903864684,1.11766972272776,0.0023069393488452583,PASS_SUBLEADING_CORRECTION
Lcert,certified length,28.915367,240.2989903864684,8.310425054832207,0.017153230668029578,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,836.098448744689,240.2989903864684,0.2874051384107353,0.0005932219593833819,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,24176.093493583372,240.2989903864684,0.0099395293309172,2.0515802527541216e-05,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,6216.803905,240.2989903864684,0.038653139789917246,7.97824682233934e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,179761.16648010814,240.2989903864684,0.001336768085631327,2.759171904108753e-06,PASS_SUBLEADING_CORRECTION
