knot_id,file,relative_path,input_format_detected,harmonics_N,closure_error,length_series_units_inv,writhe_inv,crossing_est_inv,sigma_inv,sigma_source_inv,hyperbolic_volume_meta_inv,type_meta_inv,chiral_meta_inv,bbox_diag,rms_radius,fit_source_txt_found_inv,fit_source_txt_path,fit_rms_raw_vs_fs_inv,fit_max_raw_vs_fs,fit_rel_bbox_inv,fit_rel_length,fit_best_shift,fit_rotation_det,fit_scale_used,scale_m_per_unit,length_series_units_mass,length_m,writhe_mass,crossing_est_mass,sigma_mass,sigma_source_mass,Hvortex_X(b0=3.000),hyperbolic_volume_meta_mass,Hvortex_Vol(Vol/Vol(4_1)),H_used,xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,mass_fluid_over_m_e,mass_fluid_over_m_p,mass_energy_over_m_e,mass_energy_over_m_p,fit_source_txt_found_mass,fit_rms_raw_vs_fs_mass,fit_rel_bbox_mass,type_meta_mass,chiral_meta_mass,format_rank,fit_rank,closure_rank,selected_reason
0_2_1,knot_0.2.1.fseries,knot_0.2.1\knot_0.2.1.fseries,fseries,100,2.0350724194510405e-15,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,,,,25.725834514030193,8.969907895042764,True,knot_0.2.1\knot_0.2.1.txt,4.491130322746001,8.693511084985804,0.17733004463407326,0.04159857768999997,99,1.0000000000000002,1.0,1.0,109.58795208505698,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,-0.0,,,-0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,4.491130322746001,0.17733004463407326,,,0,0.17733004463407326,2.0350724194510405e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
0_3_1,knot_0.3.1.fseries,knot_0.3.1\knot_0.3.1.fseries,fseries,100,6.52013858905055e-15,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,,,,43.84433024632142,13.411742043239991,True,knot_0.3.1\knot_0.3.1.txt,7.270573529888399,17.07040137336254,0.1688020519451754,0.05702689793565937,146,0.9999999999999999,1.0,1.0,132.6787851785274,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,-5.0,,,-5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-6.530864792985865e-36,-5.4571388483755635e-06,-7.169381603620953e-06,-3.904567254851002e-09,-5.990678433577193e+24,-3.262625445167235e+21,True,7.270573529888399,0.1688020519451754,,,0,0.1688020519451754,6.52013858905055e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
10_1,knot_10.1.fseries,knot_10.1\knot_10.1.fseries,fseries,100,8.263520563790825e-15,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,,,,27.207442277284866,7.276245652979444,True,knot_10.1\knot_10.1.txt,0.4498639779294151,0.7836054749207233,0.016534992280763345,0.0029546871250352665,5,1.0000000000000002,1.0,1.0,152.33893900074327,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,8.0,,,8.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.1997758489959886e-35,1.0025231883426245e-05,1.3170768608620877e-05,7.17302477029084e-09,1.1005389839683045e+25,5.993722634765786e+21,True,0.4498639779294151,0.016534992280763345,,,0,0.016534992280763345,8.263520563790825e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
10_123,knot_10.123.fseries,knot_10.123\knot_10.123.fseries,fseries,100,8.728543835258307e-15,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,,,,22.726534335723812,6.608096983031153,True,knot_10.123\knot_10.123.txt,0.39860596384001445,0.8575100502559647,0.01753921829589953,0.002527738062791123,5,0.9999999999999996,1.0,1.0,157.69205862984276,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.3971773425691539e-35,1.1674703114958155e-05,1.5337781219371483e-05,8.353216723877544e-09,1.2816128398494988e+25,6.979881675353382e+21,True,0.39860596384001445,0.01753921829589953,,,0,0.01753921829589953,8.728543835258307e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
2_2_1,knot_2.2.1.fseries,knot_2.2.1\knot_2.2.1.fseries,fseries,100,1.538370149106851e-15,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,,,,24.407364867448305,7.155126364876013,True,knot_2.2.1\knot_2.2.1.txt,2.985007716222332,5.131267409070091,0.12231859572833334,0.03024073513126655,52,1.0000000000000004,1.0,1.0,99.07692820310739,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,2.985007716222332,0.12231859572833334,,,0,0.12231859572833334,1.538370149106851e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
3_1,knot_3.1.fseries,knot_3.1\knot_3.1.fseries,fseries,100,2.4525628233156873e-15,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,,,,14.759811195345963,4.331288513858181,True,knot_3.1\knot_3.1.txt,0.4215362578655121,0.9150693034071578,0.02851952439126358,0.007394542600624042,17,0.9999999999999994,1.0,1.0,57.0069477144071,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4215362578655121,0.02851952439126358,,,0,0.02851952439126358,2.4525628233156873e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
4_1,knot_4.1.fseries,knot_4.1\knot_4.1.fseries,fseries,100,3.1086244689504383e-15,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,,,,19.26190953774016,5.393138078307526,True,knot_4.1\knot_4.1.txt,0.332335575236474,0.8409793087852505,0.017255225194180258,0.004043659758067744,758,1.0000000000000016,1.0,1.0,82.18879026426585,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.332335575236474,0.017255225194180258,,,0,0.017255225194180258,3.1086244689504383e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
4_2_1,knot_4.2.1.fseries,knot_4.2.1\knot_4.2.1.fseries,fseries,100,2.975450782882097e-15,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,,,,25.319550968873084,6.624820679573715,True,knot_4.2.1\knot_4.2.1.txt,2.305178495042742,6.218640663516382,0.09207906657381731,0.02023807209441107,805,0.9999999999999993,1.0,1.0,114.90304299053389,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,-3.0,,,-3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-3.3935322986146806e-36,-2.8356086869041814e-06,-3.725314916810325e-06,-2.0288699140856354e-09,-3.1128436125017487e+24,-1.6953076165882701e+21,True,2.305178495042742,0.09207906657381731,,,0,0.09207906657381731,2.975450782882097e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
5_1,knot_5.1.fseries,knot_5.1\knot_5.1.fseries,fseries,100,3.688882027804963e-15,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,,,,19.925570966085406,5.384368815029098,True,knot_5.1\knot_5.1.txt,0.37219331942136025,0.885018879526996,0.018648839289347952,0.004421558741274908,11,0.999999999999999,1.0,1.0,84.18497548443696,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,2.0,,,2.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.657539121269153e-36,1.3850265497909178e-06,1.8195952389141468e-06,9.909825393251019e-10,1.520439357014736e+24,8.280571539654262e+20,True,0.37219331942136025,0.018648839289347952,,,0,0.018648839289347952,3.688882027804963e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
5_2,knot_5.2.fseries,knot_5.2\knot_5.2.fseries,fseries,100,4.5288390936029406e-15,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,,,,22.82149257908559,5.9766994336758845,True,knot_5.2\knot_5.2.txt,0.45488410983317673,0.9383117942078744,0.019948779807708598,0.004701194749090567,5,1.0,1.0,1.0,96.78292815701381,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,2.8583750622025586e-36,2.388435542552697e-06,3.137835835954394e-06,1.708918806885329e-09,2.6219507497081324e+24,1.42795900778553e+21,True,0.45488410983317673,0.019948779807708598,,,0,0.019948779807708598,4.5288390936029406e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
5_2_1,knot_5.2.1.fseries,knot_5.2.1\knot_5.2.1.fseries,fseries,100,4.725952219296117e-15,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,,,,22.493293612249072,5.828450483620395,True,knot_5.2.1\knot_5.2.1.txt,1.7173189741145747,3.085329989124271,0.07661240138613219,0.016507818961951314,23,0.9999999999999998,1.0,1.0,104.30579902405988,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,3.08055460245835e-36,2.574087005088912e-06,3.3817376711786648e-06,1.841751897919815e-09,2.825753189719134e+24,1.538953285635629e+21,True,1.7173189741145747,0.07661240138613219,,,0,0.07661240138613219,4.725952219296117e-15,preferred_format=fseries; then max harmonics; then min fit_rel_bbox; then min closure_error
