N,max_relative_error,central_difference_prediction
128,0.09968368384289383,0.09968368384289383
256,0.025504641595567312,0.025504641595567312
512,0.006413148855794248,0.006413148855794248
1024,0.0016056069643816118,0.0016056069643816118
2048,0.00040154685032089965,0.00040154685032089965
4096,0.00010039578385823145,0.00010039578385823145
8192,2.5099512949933178e-05,2.5099512949933178e-05
