name,family,normalization,params,c_over_v,c2_over_v2,gamma_ratio,slope_boundary,axis_f0,axis_rho0,axis_velocity_regular,density_core_regular,boundary_circulation_match,exterior_slope_match,finite_weighted_energy,admissibility_score_4,denom,numer,notes
uniform_boundary,Euler toy,boundary,default,1.0,1.0,1.0,0.0,1.0,1.0,False,False,True,False,True,2,0.24999999998750003,0.24999999998750003,constant tangential speed; c/v=1 but axis vector field is not regular
solid_body_boundary,Euler/Rankine core,boundary,p=0.5,0.8944271909850088,0.7999999999733334,1.0,0.5000000000032756,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.19999999998333337,regular core f=x; expected c/v=sqrt(2/3) for constant density
solid_body_boundary,Euler/Rankine core,boundary,p=1.0,0.8164965808971073,0.6666666666166665,1.0,1.000000000001,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.16666666664583332,regular core f=x; expected c/v=sqrt(2/3) for constant density
solid_body_boundary,Euler/Rankine core,boundary,p=1.5,0.7559289459712089,0.5714285713571428,1.0,1.4999999999987244,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.14285714283214285,regular core f=x; expected c/v=sqrt(2/3) for constant density
solid_body_boundary,Euler/Rankine core,boundary,p=2.0,0.7071067811217294,0.4999999999083333,1.0,2.000000000002,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.12499999997083334,regular core f=x; expected c/v=sqrt(2/3) for constant density
solid_body_boundary,Euler/Rankine core,boundary,p=3.0,0.6324555319309018,0.39999999986999996,1.0,3.000000000097369,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.0999999999625,regular core f=x; expected c/v=sqrt(2/3) for constant density
smooth_matched_poly,regular core + exterior slope match toy,boundary+slope,a0=1.2,0.9585703640768469,0.918857142886419,1.0,-1.0000000007392984,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.22971428571011904,"regular f(0)=0, f(1)=1, f'(1)=-1; smooth bridge toy"
smooth_matched_poly,regular core + exterior slope match toy,boundary+slope,a0=1.5,0.9856107606253476,0.9714285714604762,1.0,-1.0000000005006004,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.24285714285297622,"regular f(0)=0, f(1)=1, f'(1)=-1; smooth bridge toy"
smooth_matched_poly,regular core + exterior slope match toy,boundary+slope,a0=2.0,1.0327955590063957,1.0666666667033333,1.0,-1.0000000001009202,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.26666666666250005,"regular f(0)=0, f(1)=1, f'(1)=-1; smooth bridge toy"
smooth_matched_poly,regular core + exterior slope match toy,boundary+slope,a0=2.5,1.0823255385836907,1.1714285714704762,1.0,-0.9999999997012398,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.2928571428529762,"regular f(0)=0, f(1)=1, f'(1)=-1; smooth bridge toy"
regularized_inv_r_boundary,Euler exterior regularized,boundary,eps=0.02,1.4122811120721137,1.9945379395156462,1.0,-0.9996001600343084,50.00999900019995,1.0,False,False,True,True,True,3,0.24999999998750003,0.4986344848539799,"regularized exterior-like 1/r; good slope, poor core regularity"
regularized_inv_r_boundary,Euler exterior regularized,boundary,eps=0.05,1.4053310173861615,1.974955268427624,1.0,-0.9975062345124462,20.024984394500784,1.0,False,False,True,True,True,3,0.24999999998750003,0.4937388170822191,"regularized exterior-like 1/r; good slope, poor core regularity"
regularized_inv_r_boundary,Euler exterior regularized,boundary,eps=0.1,1.38808305430156,1.926774565639148,1.0,-0.9900990099898087,10.049875621120888,1.0,False,False,True,True,True,3,0.24999999998750003,0.48169364138570236,"regularized exterior-like 1/r; good slope, poor core regularity"
regularized_inv_r_boundary,Euler exterior regularized,boundary,eps=0.2,1.3449633333697653,1.8089263681091101,1.0,-0.9615384616190602,5.0990195135927845,1.0,False,False,True,True,True,3,0.24999999998750003,0.452231592004666,"regularized exterior-like 1/r; good slope, poor core regularity"
lamb_oseen_boundary,Navier-Stokes/Lamb-Oseen-like,boundary,sigma=0.2,1.3711309201282618,1.8800000001317736,1.0,-0.9999999994014795,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.4700000000094435,"smooth regular core with circulation-spread parameter sigma, boundary normalized"
lamb_oseen_boundary,Navier-Stokes/Lamb-Oseen-like,boundary,sigma=0.35,1.2781120379105757,1.6335703814519247,1.0,-0.9953467478784893,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.40839259534256156,"smooth regular core with circulation-spread parameter sigma, boundary normalized"
lamb_oseen_boundary,Navier-Stokes/Lamb-Oseen-like,boundary,sigma=0.5,1.14716910501846,1.3159969555088546,1.0,-0.850741117025544,0.0,1.0,True,False,True,True,True,4,0.24999999998750003,0.3289992388607637,"smooth regular core with circulation-spread parameter sigma, boundary normalized"
lamb_oseen_boundary,Navier-Stokes/Lamb-Oseen-like,boundary,sigma=0.75,0.9899376247134272,0.9799765008232622,1.0,-0.27684011817408205,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.24499412519356586,"smooth regular core with circulation-spread parameter sigma, boundary normalized"
lamb_oseen_boundary,Navier-Stokes/Lamb-Oseen-like,boundary,sigma=1.0,0.9172497960763942,0.8413471884021868,1.0,0.16395341377872796,0.0,1.0,True,False,True,False,True,3,0.24999999998750003,0.2103367970900299,"smooth regular core with circulation-spread parameter sigma, boundary normalized"
nlse_tanh_density_phase,NLSE/GP density-regularized phase vortex,boundary phase speed + density core,xi=0.15,1.393891919199493,1.9429346824096458,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.24931600384610977,0.48440471075238334,singular phase velocity but density vanishes at core; weighted energy finite
nlse_pade_density_phase,NLSE/GP Pade density phase vortex,boundary phase speed + Pade density core,xi=0.15,1.380829894698673,1.9066911980935481,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.23971604916533085,0.45706448098529656,1/r phase velocity with Pade density depletion
nlse_tanh_density_phase,NLSE/GP density-regularized phase vortex,boundary phase speed + density core,xi=0.25,1.3656586472395382,1.8650235407801254,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.24496577613343848,0.45686693917433696,singular phase velocity but density vanishes at core; weighted energy finite
nlse_pade_density_phase,NLSE/GP Pade density phase vortex,boundary phase speed + Pade density core,xi=0.25,1.3544598373806787,1.8345614510772947,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.22428361980038372,0.4114620829938602,1/r phase velocity with Pade density depletion
nlse_tanh_density_phase,NLSE/GP density-regularized phase vortex,boundary phase speed + density core,xi=0.35,1.3370156580972978,1.7876108699973503,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.23371654444912335,0.4177942353554718,singular phase velocity but density vanishes at core; weighted energy finite
nlse_pade_density_phase,NLSE/GP Pade density phase vortex,boundary phase speed + Pade density core,xi=0.35,1.33189907889068,1.7739551563498415,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.2053709419183838,0.3643188413805407,1/r phase velocity with Pade density depletion
nlse_tanh_density_phase,NLSE/GP density-regularized phase vortex,boundary phase speed + density core,xi=0.5,1.3032192246876255,1.698380347595416,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.20562937936193348,0.34923689679655023,singular phase velocity but density vanishes at core; weighted energy finite
nlse_pade_density_phase,NLSE/GP Pade density phase vortex,boundary phase speed + Pade density core,xi=0.5,1.3056306502564339,1.7046713948890384,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.1752949347522323,0.2988202609410708,1/r phase velocity with Pade density depletion
nlse_tanh_density_phase,NLSE/GP density-regularized phase vortex,boundary phase speed + density core,xi=0.75,1.2701136591764284,1.6131887072265367,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.15208688081421037,0.2453448386467924,singular phase velocity but density vanishes at core; weighted energy finite
nlse_pade_density_phase,NLSE/GP Pade density phase vortex,boundary phase speed + Pade density core,xi=0.75,1.2771462922816832,1.6311026518888507,1.0,-1.0000000001009202,999999999999999.9,0.0,False,True,True,True,True,3,0.130378420009788,0.2126605866270436,1/r phase velocity with Pade density depletion
gaussian_core_max,localized core toy,peak,sigma=0.2,0.02828427124816901,0.00080000000004,1.3887943864964021e-11,-50.00000195821888,1.0,1.0,False,False,False,False,True,1,0.24999999998750003,0.00020000000000000004,peak-normalized central swirl; usually poor boundary circulation
gaussian_core_max,localized core toy,peak,sigma=0.35,0.08662051977459864,0.0075031144460216345,0.00028493048887656886,-16.326530671539523,1.0,1.0,False,False,False,False,True,1,0.24999999998750003,0.00187577861141162,peak-normalized central swirl; usually poor boundary circulation
gaussian_core_max,localized core toy,peak,sigma=0.5,0.1765096346875515,0.03115565113753288,0.01831563888873418,-8.000000005337974,1.0,1.0,False,False,False,False,True,1,0.24999999998750003,0.0077889127839937755,peak-normalized central swirl; usually poor boundary circulation
gaussian_core_max,localized core toy,peak,sigma=0.75,0.37096614309964004,0.1376158793262226,0.1690133154060661,-3.555555555660414,1.0,1.0,False,False,False,False,True,1,0.24999999998750003,0.03440396982983546,peak-normalized central swirl; usually poor boundary circulation
