label,profile,normalization,params_repr,is_calibration_mode,a_core,rho_f,v_ref,I_chi,K_chi,J_numeric,J_analytic_disk,J_rel_error,Kgeom_over_J,c_chi,c_over_v_ref,implied_omega1_over_omegac,scale,raw_boundary,raw_max_abs,raw_rms_r2,n_radial
uniform boundary,uniform,boundary,{},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,5.184861684628808e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,1.0,1093845.6318215313,1.0,1.0,1.0,1.0,1.0,1.0,200000
solid-body boundary,solid_body,boundary,{},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,3.4565744563543874e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.6666666666541653,893121.2184366346,0.8164965809200705,0.8164965809200705,1.0,1.0,0.9999975000000001,0.8164965809200705,200000
quadratic core boundary,quadratic_core,boundary,{},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,4.5676162459747587e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.8809523809508838,1026673.2666535085,0.9385906354481083,0.9385906354481083,1.0,1.0,0.99999999999375,0.9385906354481083,200000
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,{'eps': 0.05},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,1.0356761215110673e-53,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,1.997500000012465,1545964.193265603,1.4133294025146665,1.4133294025146665,1.0,1.0,20.0,1.4133294025146668,200000
"Rankine-like max, core=0.35",rankine,max,{'core': 0.35},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,1.1665673369312402e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.22499488084507244,518850.6382836872,0.4743362529314752,0.4743362529314752,1.000007142857143,0.35,0.999992857193877,0.4743328648395834,200000
"Lamb-Oseen-like max, sigma=0.35",lamb_oseen,max,{'sigma': 0.35},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,2.546168651050919e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.4910774492980911,766533.3108757348,0.7007691840385757,0.7007691840385757,0.5484408961592793,0.9997150695111234,1.8233505323964354,1.2777478648037526,200000
"Gaussian core max, sigma=0.35",gaussian_core,max,{'sigma': 0.35},0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,1.5520437843029242e-55,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.029934140555844688,189251.5449789063,0.17301485645991413,0.17301485645991413,1.0000000000255103,0.01687988414878991,0.9999999999744899,0.17301485645550047,200000
"Gaussian shell max, r0=0.75",gaussian_shell,max,"{'r0': 0.75, 'sigma': 0.12}",0,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,1.9247853176480074e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,0.3712317578990163,666466.919437856,0.6092879105144104,0.6092879105144104,1.000000000217014,0.11416176000968689,0.9999999997829861,0.6092879103821865,200000
solid-body r2-RMS calibration (forces c/v=1),solid_body,rms_r2,{},1,1.408970162243403e-15,7e-07,1093845.6318215313,4.333363307626896e-66,5.184861684628809e-54,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,1.0000000000000002,1093845.6318215313,1.0,1.0,1.2247448714030724,1.0,0.9999975000000001,0.8164965809200705,200000
