mu,N_p,lambda_chi,chi_R_star,A_chi_star,duality_residual_rms
0.8,4.0,3.2,1.7888543819998317,3.577708763999664,0.8664592859381517
0.95,4.0,3.8,1.9493588689617927,3.898717737923586,0.21661482148453814
1.0,4.0,4.0,2.0,4.0,3.76822190084106e-16
1.05,4.0,4.2,2.04939015319192,4.098780306383839,0.21661482148453814
1.2,4.0,4.8,2.1908902300206643,4.381780460041329,0.8664592859381517
1.0,4.0,4.0,2.0,4.0,3.76822190084106e-16
