t,delta,kappa_tau
0.0,-1.9500000000000002,0.7
0.001,-1.9462841611399844,0.7
0.002,-1.9425663213221114,0.7
0.003,-1.9388479833809957,0.7
0.004,-1.9351306569077713,0.7
0.005,-1.9314158575646072,0.7
0.006,-1.9277051063858206,0.7
0.007,-1.923999929066135,0.7
0.008,-1.920301855236656,0.7
0.009000000000000001,-1.9166124177291737,0.7
0.01,-1.912933151829414,0.7
0.011,-1.909265594519892,0.7
0.012,-1.9056112837130414,0.7
0.013000000000000001,-1.9019717574753157,0.7
0.014,-1.898348553242974,0.7
0.015,-1.8947432070302808,0.7
0.016,-1.8911572526308738,0.7
0.017,-1.8875922208130513,0.7
0.018000000000000002,-1.8840496385097638,0.7
0.019,-1.8805310280040843,0.7
0.02,-1.8770379061109614,0.7
0.021,-1.8735717833560446,0.7
0.022,-1.870134163152395,0.7
0.023,-1.8667265409758884,0.7
0.024,-1.8633504035401187,0.7
0.025,-1.8600072279716144,0.7
0.026000000000000002,-1.8566984809861755,0.7
0.027,-1.8534256180671322,0.7
0.028,-1.850190082646329,0.7
0.029,-1.8469933052886194,0.7
0.03,-1.8438367028806588,0.7
0.031,-1.840721677824766,0.7
0.032,-1.837649617238609,0.7
0.033,-1.8346218921614734,0.7
0.034,-1.8316398567678323,0.7
0.035,-1.828704847588945,0.7
0.036000000000000004,-1.825818182743176,0.7
0.037,-1.8229811611757272,0.7
0.038,-1.8201950619084306,0.7
0.039,-1.8174611433002603,0.7
0.04,-1.8147806423191732,0.7
0.041,-1.8121547738258892,0.7
0.042,-1.8095847298701824,0.7
0.043000000000000003,-1.8070716790002455,0.7
0.044,-1.8046167655856582,0.7
0.045,-1.8022211091544715,0.7
0.046,-1.7998858037448973,0.7
0.047,-1.7976119172720646,0.7
0.048,-1.7954004909102868,0.7
0.049,-1.793252538491257,0.7
0.05,-1.7911690459185647,0.7
0.051000000000000004,-1.7891509705989106,0.7
0.052000000000000005,-1.7871992408903656,0.7
0.053,-1.785314755568004,0.7
0.054,-1.7834983833072184,0.7
0.055,-1.781750962185001,0.7
0.056,-1.7800732991994557,0.7
0.057,-1.7784661698077928,0.7
0.058,-1.7769303174830249,0.7
0.059000000000000004,-1.7754664532895814,0.7
0.06,-1.774075255478026,0.7
0.061,-1.7727573690990583,0.7
0.062,-1.7715134056369568,0.7
0.063,-1.770343942662603,0.7
0.064,-1.7692495235062264,0.7
0.065,-1.7682306569499782,0.7
0.066,-1.7672878169404433,0.7
0.067,-1.7664214423211844,0.7
