t,delta,kappa_tau
0.0,-1.9500000000000002,0.35
0.001,-1.9481420805699923,0.35
0.002,-1.9462838458844733,0.35
0.003,-1.9444260417978094,0.35
0.004,-1.9425694156330844,0.35
0.005,-1.9407147158707625,0.35
0.006,-1.9388626918342626,0.35
0.007,-1.9370140933725988,0.35
0.008,-1.9351696705402635,0.35
0.009000000000000001,-1.9333301732745243,0.35
0.01,-1.9314963510703147,0.35
0.011,-1.9296689526529054,0.35
0.012,-1.9278487256485444,0.35
0.013000000000000001,-1.9260364162532597,0.35
0.014,-1.9242327689000231,0.35
0.015,-1.922438525924481,0.35
0.016,-1.920654427229453,0.35
0.017,-1.918881209948412,0.35
0.018000000000000002,-1.917119608108159,0.35
0.019,-1.915370352290905,0.35
0.02,-1.9136341692959844,0.35
0.021,-1.9119117818014164,0.35
0.022,-1.910203908025541,0.35
0.023,-1.908511261388952,0.35
0.024,-1.9068345501769595,0.35
0.025,-1.9051744772027994,0.35
0.026000000000000002,-1.9035317394718339,0.35
0.027,-1.901907027846959,0.35
0.028,-1.9003010267154576,0.35
0.029,-1.8987144136575265,0.35
0.03,-1.8971478591167075,0.35
0.031,-1.8956020260724509,0.35
0.032,-1.8940775697150438,0.35
0.033,-1.89257513712313,0.35
0.034,-1.8910953669440471,0.35
0.035,-1.8896388890772085,0.35
0.036000000000000004,-1.8882063243607514,0.35
0.037,-1.8867982842616764,0.35
0.038,-1.8854153705696934,0.35
0.039,-1.884058175094996,0.35
0.04,-1.882727279370173,0.35
0.041,-1.8814232543564717,0.35
0.042,-1.8801466601546233,0.35
0.043000000000000003,-1.8788980457204278,0.35
0.044,-1.8776779485853092,0.35
0.045,-1.8764868945820299,0.35
0.046,-1.875325397575763,0.35
0.047,-1.8741939592007126,0.35
0.048,-1.8730930686024616,0.35
0.049,-1.8720232021862357,0.35
0.05,-1.870984823371254,0.35
0.051000000000000004,-1.8699783823513405,0.35
0.052000000000000005,-1.8690043158619631,0.35
0.053,-1.8680630469538635,0.35
0.054,-1.8671549847734312,0.35
0.055,-1.8662805243499785,0.35
0.056,-1.8654400463900602,0.35
0.057,-1.8646339170789796,0.35
0.058,-1.8638624878896184,0.35
0.059000000000000004,-1.863126095398721,0.35
0.06,-1.8624250611107576,0.35
0.061,-1.8617596912894858,0.35
0.062,-1.861130276797327,0.35
0.063,-1.8605370929426646,0.35
0.064,-1.8599803993351651,0.35
0.065,-1.859460439749224,0.35
0.066,-1.858977441995625,0.35
0.067,-1.8585316178014977,0.35
0.068,-1.8581231626986552,0.35
0.069,-1.857752255920388,0.35
0.07,-1.857419060306777,0.35
0.07100000000000001,-1.8571237222185943,0.35
0.07200000000000001,-1.856866371459846,0.35
0.073,-1.8566471212090077,0.35
0.074,-1.8564660679589984,0.35
0.075,-1.8563232914659336,0.35
0.076,-1.8562188547066891,0.35
0.077,-1.8561528038453061,0.35
0.078,-1.8561251682082547,0.35
0.079,-1.8561359602685799,0.35
0.08,-1.856185175638932,0.35
0.081,-1.8562727930734908,0.35
0.082,-1.8563987744787824,0.35
0.083,-1.8565630649333795,0.35
0.084,-1.8567655927164741,0.35
0.085,-1.8570062693453009,0.35
0.08600000000000001,-1.8572849896213928,0.35
0.08700000000000001,-1.8576016316856307,0.35
0.088,-1.8579560570820586,0.35
0.089,-1.8583481108304158,0.35
0.09,-1.8587776215073446,0.35
