t,delta,kappa_tau
0.0,-1.9500000000000002,2.8
0.001,-1.935136644559938,2.8
0.002,-1.9202326642322443,2.8
0.003,-1.9052947969958065,2.8
0.004,-1.8903299061475793,2.8
0.005,-1.8753449728358702,2.8
0.006,-1.8603470881730242,2.8
0.007,-1.8453434449523756,2.8
0.008,-1.830341328997069,2.8
0.009000000000000001,-1.8153481101709357,2.8
0.01,-1.8003712330840158,2.8
0.011,-1.7854182075275111,2.8
0.012,-1.7704965986749213,2.8
0.013000000000000001,-1.755614017087813,2.8
0.014,-1.7407781085661118,2.8
0.015,-1.7259965438839227,2.8
0.016,-1.7112770084527171,2.8
0.017,-1.6966271919542235,2.8
0.018000000000000002,-1.6820547779855235,2.8
0.019,-1.6675674337586988,2.8
0.02,-1.6531727998968924,2.8
0.021,-1.6388784803678191,2.8
0.022,-1.6246920325946426,2.8
0.023,-1.6106209577826993,2.8
0.024,-1.596672691498826,2.8
0.025,-1.5828545945380728,2.8
0.026000000000000002,-1.5691739441103434,2.8
0.027,-1.5556379253770567,2.8
0.028,-1.5422536233652988,2.8
0.029,-1.5290280152841063,2.8
0.03,-1.5159679632646157,2.8
0.031,-1.5030802075427572,2.8
0.032,-1.4903713601000785,2.8
0.033,-1.4778478987751336,2.8
0.034,-1.4655161618547257,2.8
0.035,-1.4533823431511548,2.8
0.036000000000000004,-1.4414524875685457,2.8
0.037,-1.42973248715832,2.8
0.038,-1.4182280776609693,2.8
0.039,-1.406944835528506,2.8
0.04,-1.3958881754193109,2.8
0.041,-1.3850633481546233,2.8
0.042,-1.3744754391235905,2.8
0.043000000000000003,-1.364129367121674,2.8
0.044,-1.3540298836052558,2.8
0.045,-1.3441815723435597,2.8
0.046,-1.3345888494474587,2.8
0.047,-1.3252559637533992,2.8
0.048,-1.3161869975395513,2.8
0.049,-1.3073858675503556,2.8
0.05,-1.2988563263048993,2.8
0.051000000000000004,-1.2906019636640118,2.8
0.052000000000000005,-1.2826262086306022,2.8
0.053,-1.2749323313575618,2.8
0.054,-1.2675234453375313,2.8
0.055,-1.2604025097489466,2.8
0.056,-1.2535723319330434,2.8
0.057,-1.2470355699768818,2.8
0.058,-1.2407947353779742,2.8
0.059000000000000004,-1.2348521957666974,2.8
0.06,-1.229210177663395,2.8
0.061,-1.223870769247853,2.8
0.062,-1.2188359231197068,2.8
0.063,-1.2141074590292642,2.8
0.064,-1.209687066559206,2.8
0.065,-1.205576307738654,2.8
0.066,-1.2017766195721593,2.8
0.067,-1.1982893164672563,2.8
0.068,-1.1951155925453345,2.8
0.069,-1.192256523821717,2.8
0.07,-1.1897130702419776,2.8
0.07100000000000001,-1.187486077562669,2.8
0.07200000000000001,-1.1855762790657982,2.8
0.073,-1.1839842970975343,2.8
0.074,-1.182710644422785,2.8
0.075,-1.181755725388435,2.8
0.076,-1.18111983688918,2.8
0.077,-1.180803169131035,2.8
0.078,-1.180805806188732,2.8
0.079,-1.1811277263543594,2.8
0.08,-1.181768802275716,2.8
0.081,-1.1827288008839845,2.8
0.082,-1.1840073831114535,2.8
0.083,-1.1856041034011349,2.8
0.084,-1.187518409011239,2.8
0.085,-1.1897496391186015,2.8
0.08600000000000001,-1.1922970237262658,2.8
0.08700000000000001,-1.1951596823815454,2.8
0.088,-1.1983366227120196,2.8
0.089,-1.2018267387880237,2.8
0.09,-1.205628809321328,2.8
0.091,-1.2097414957108055,2.8
0.092,-1.2141633399470102,2.8
0.093,-1.2188927623886903,2.8
0.094,-1.2239280594253596,2.8
0.095,-1.229267401041136,2.8
0.096,-1.2349088282961147,2.8
0.097,-1.2408502507425987,2.8
0.098,-1.2470894437945081,2.8
0.099,-1.2536240460692798,2.8
0.1,-1.2604515567224954,2.8
0.101,-1.2675693327963602,2.8
0.10200000000000001,-1.2749745866039768,2.8
0.10300000000000001,-1.282664383172111,2.8
0.10400000000000001,-1.2906356377658166,2.8
0.105,-1.2988851135188715,2.8
0.106,-1.3074094191944532,2.8
0.107,-1.316205007100856,2.8
0.108,-1.3252681711872936,2.8
0.109,-1.3345950453449458,2.8
0.11,-1.3441816019383737,2.8
0.111,-1.354023650592238,2.8
0.112,-1.3641168372579067,2.8
0.113,-1.374456643584014,2.8
0.114,-1.3850383866143128,2.8
0.115,-1.3958572188352885,2.8
0.116,-1.4069081285948988,2.8
0.117,-1.4181859409125233,2.8
0.11800000000000001,-1.4296853186987413,2.8
0.11900000000000001,-1.4414007644018532,2.8
0.12,-1.4533266220962142,2.8
0.121,-1.4654570800253746,2.8
0.122,-1.4777861736107862,2.8
0.123,-1.4903077889344205,2.8
0.124,-1.50301566670108,2.8
0.125,-1.5159034066834645,2.8
0.126,-1.5289644726502312,2.8
0.127,-1.542192197774336,2.8
0.128,-1.5555797905159272,2.8
0.129,-1.5691203409709966,2.8
0.13,-1.5828068276738714,2.8
0.131,-1.5966321248385351,2.8
0.132,-1.6105890100206888,2.8
0.133,-1.6246701721794299,2.8
0.134,-1.6388682201145204,2.8
0.135,-1.6531756912523825,2.8
0.136,-1.6675850607513167,2.8
0.137,-1.68208875089395,2.8
0.138,-1.6966791407326482,2.8
0.139,-1.7113485759516016,2.8
0.14,-1.7260893789074867,2.8
0.14100000000000001,-1.7408938588091263,2.8
0.14200000000000002,-1.7557543219953513,2.8
0.14300000000000002,-1.7706630822693716,2.8
0.14400000000000002,-1.785612471247386,2.8
0.145,-1.8005948486789167,2.8
0.146,-1.815602612696435,2.8
0.147,-1.8306282099522533,2.8
0.148,-1.845664145601408,2.8
0.149,-1.8607029930902974,2.8
0.15,-1.8757374037122068,2.8
0.151,-1.890760115892491,2.8
0.152,-1.9057639641680937,2.8
0.153,-1.920741887828247,2.8
0.154,-1.935686939185552,2.8
0.155,-1.950592291449222,2.8
0.156,-1.9654512461749896,2.8
0.157,-1.9802572402690464,2.8
0.158,-1.9950038525263305,2.8
0.159,-2.009684809686534,2.8
0.16,-2.0242939919942478,2.8
0.161,-2.038825438252765,2.8
0.162,-2.053273350364097,2.8
0.163,-2.0676320973507996,2.8
0.164,-2.081896218858108,2.8
0.165,-2.0960604281377475,2.8
0.166,-2.110119614517476,2.8
0.167,-2.1240688453630128,2.8
0.168,-2.1379033675414068,2.8
0.169,-2.151618608397163,2.8
0.17,-2.1652101762544897,2.8
0.171,-2.1786738604609304,2.8
0.17200000000000001,-2.1920056309892817,2.8
0.17300000000000001,-2.2052016376162147,2.8
0.17400000000000002,-2.218258208697252,2.8
0.17500000000000002,-2.2311718495588524,2.8
0.176,-2.2439392405292082,2.8
0.177,-2.2565572346300535,2.8
0.178,-2.26902285495227,2.8
0.179,-2.2813332917383953,2.8
0.18,-2.2934858991952907,2.8
0.181,-2.305478192060208,2.8
0.182,-2.3173078419433515,2.8
0.183,-2.3289726734697345,2.8
0.184,-2.3404706602427123,2.8
0.185,-2.351799920651068,2.8
0.186,-2.362958713540895,2.8
0.187,-2.3739454337728185,2.8
0.188,-2.3847586076843243,2.8
0.189,-2.395396888476132,2.8
0.19,-2.405859051540649,2.8
