gamma,amp,c00
0.0,1.0,1.0
0.02,0.9491025448727564,0.9491025448727564
0.05,0.9257037148142593,0.9257037148142593
0.1,0.8628068596570172,0.8628068596570172
0.2,0.8214089295535223,0.8214089295535223
0.4,0.7796110194490276,0.7796110194490276
0.8,0.6843157842107894,0.6786160691965402
