normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,963.2765447612962,963.2765447612962,3.511642352790722,FAIL_NOT_SUBLEADING
Mmax,M_max,1023.0,963.2765447612962,0.9416193008419318,0.0034326904719361897,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),31.984371183438952,963.2765447612962,30.117101231618616,0.10979244621226132,FAIL_NOT_SUBLEADING
Lcert,certified length,16.371637,963.2765447612962,58.83813236033124,0.2144954931990443,FAIL_NOT_SUBLEADING
Lcert2,certified length squared,268.030498059769,963.2765447612962,3.59390648353193,0.013101652156045501,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,963.2765447612962,0.21952028887104752,0.000800265248737527,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,963.2765447612962,57.49133387371563,0.20958571455656133,FAIL_NOT_SUBLEADING
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,963.2765447612962,3.511642352790722,0.012801756755085722,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,963.2765447612962,3.511642352790722,0.012801756755085722,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,963.2765447612962,7.023284705581444,0.025603513510171445,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,16748.184651,963.2765447612962,0.05751528089963953,0.00020967301387980872,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,523.6365146885229,963.2765447612962,1.8395900930138274,0.006706259503082149,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,274195.1995151437,963.2765447612962,0.003513105066991134,1.2807089106593843e-05,PASS_SUBLEADING_CORRECTION
